Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_0,1,89.0,89,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_0,2,56.0,89,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_0,3,47.0,89,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_0,4,38.0,89,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_0,5,36.0,89,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_0,6,70.0,89,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_0,7,40.0,89,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_0,8,46.0,89,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_0,9,42.0,89,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_0,10,37.0,89,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_1,1,40.0,40,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_1,2,38.0,40,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_1,3,32.0,40,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_1,4,33.0,40,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_1,5,34.0,40,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_1,6,34.0,40,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_1,7,32.0,40,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_1,8,39.0,40,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_1,9,33.0,40,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_1,10,32.0,40,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_2,1,91.0,91,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_2,2,59.0,91,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_2,3,50.0,91,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_2,4,41.0,91,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_2,5,52.0,91,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_2,6,42.0,91,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_2,7,61.0,91,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_2,8,43.0,91,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_2,9,39.0,91,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_2,10,35.0,91,26
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_3,1,95.0,95,36
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_3,2,60.0,95,36
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_3,3,42.0,95,36
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_3,4,44.0,95,36
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_3,5,84.0,95,36
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_3,6,51.0,95,36
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_3,7,54.0,95,36
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_3,8,43.0,95,36
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_3,9,72.0,95,36
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_3,10,61.0,95,36
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_4,1,94.0,94,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_4,2,77.0,94,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_4,3,57.0,94,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_4,4,45.0,94,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_4,5,41.0,94,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_4,6,32.0,94,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_4,7,33.0,94,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_4,8,58.0,94,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_4,9,45.0,94,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_4,10,44.0,94,32
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_5,1,88.0,88,27
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_5,2,72.0,88,27
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_5,3,48.0,88,27
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_5,4,39.0,88,27
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_5,5,40.0,88,27
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_5,6,38.0,88,27
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_5,7,65.0,88,27
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_5,8,43.0,88,27
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_5,9,39.0,88,27
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_5,10,35.0,88,27
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_6,1,83.0,83,36
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_6,2,58.0,83,36
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_6,3,48.0,83,36
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_6,4,53.0,83,36
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_6,5,54.0,83,36
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_6,6,43.0,83,36
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_6,7,64.0,83,36
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_6,8,46.0,83,36
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_6,9,40.0,83,36
678efa2c-06e3-4546-b039-e7b70cbc8a2e,provider_6,10,37.0,83,36
