Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
68ec841a-a062-4862-a659-c8ce84842e03,provider_0,1,81.0,81,20
68ec841a-a062-4862-a659-c8ce84842e03,provider_0,2,51.0,81,20
68ec841a-a062-4862-a659-c8ce84842e03,provider_0,3,43.0,81,20
68ec841a-a062-4862-a659-c8ce84842e03,provider_0,4,40.0,81,20
68ec841a-a062-4862-a659-c8ce84842e03,provider_0,5,41.0,81,20
68ec841a-a062-4862-a659-c8ce84842e03,provider_0,6,47.0,81,20
68ec841a-a062-4862-a659-c8ce84842e03,provider_0,7,41.0,81,20
68ec841a-a062-4862-a659-c8ce84842e03,provider_0,8,34.0,81,20
68ec841a-a062-4862-a659-c8ce84842e03,provider_0,9,31.0,81,20
68ec841a-a062-4862-a659-c8ce84842e03,provider_0,10,29.0,81,20
68ec841a-a062-4862-a659-c8ce84842e03,provider_1,1,40.0,40,23
68ec841a-a062-4862-a659-c8ce84842e03,provider_1,2,30.0,40,23
68ec841a-a062-4862-a659-c8ce84842e03,provider_1,3,30.0,40,23
68ec841a-a062-4862-a659-c8ce84842e03,provider_1,4,29.0,40,23
68ec841a-a062-4862-a659-c8ce84842e03,provider_1,5,29.0,40,23
68ec841a-a062-4862-a659-c8ce84842e03,provider_1,6,27.0,40,23
68ec841a-a062-4862-a659-c8ce84842e03,provider_1,7,27.0,40,23
68ec841a-a062-4862-a659-c8ce84842e03,provider_1,8,27.0,40,23
68ec841a-a062-4862-a659-c8ce84842e03,provider_1,9,25.0,40,23
68ec841a-a062-4862-a659-c8ce84842e03,provider_1,10,23.0,40,23
68ec841a-a062-4862-a659-c8ce84842e03,provider_2,1,99.0,99,32
68ec841a-a062-4862-a659-c8ce84842e03,provider_2,2,69.0,99,32
68ec841a-a062-4862-a659-c8ce84842e03,provider_2,3,48.0,99,32
68ec841a-a062-4862-a659-c8ce84842e03,provider_2,4,50.0,99,32
68ec841a-a062-4862-a659-c8ce84842e03,provider_2,5,52.0,99,32
68ec841a-a062-4862-a659-c8ce84842e03,provider_2,6,50.0,99,32
68ec841a-a062-4862-a659-c8ce84842e03,provider_2,7,52.0,99,32
68ec841a-a062-4862-a659-c8ce84842e03,provider_2,8,42.0,99,32
68ec841a-a062-4862-a659-c8ce84842e03,provider_2,9,44.0,99,32
68ec841a-a062-4862-a659-c8ce84842e03,provider_2,10,41.0,99,32
68ec841a-a062-4862-a659-c8ce84842e03,provider_3,1,86.0,86,30
68ec841a-a062-4862-a659-c8ce84842e03,provider_3,2,70.0,86,30
68ec841a-a062-4862-a659-c8ce84842e03,provider_3,3,39.0,86,30
68ec841a-a062-4862-a659-c8ce84842e03,provider_3,4,62.0,86,30
68ec841a-a062-4862-a659-c8ce84842e03,provider_3,5,47.0,86,30
68ec841a-a062-4862-a659-c8ce84842e03,provider_3,6,40.0,86,30
68ec841a-a062-4862-a659-c8ce84842e03,provider_3,7,40.0,86,30
68ec841a-a062-4862-a659-c8ce84842e03,provider_3,8,41.0,86,30
68ec841a-a062-4862-a659-c8ce84842e03,provider_3,9,41.0,86,30
68ec841a-a062-4862-a659-c8ce84842e03,provider_3,10,38.0,86,30
