Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_0,1,96.0,96,33
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_0,2,58.0,96,33
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_0,3,53.0,96,33
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_0,4,87.0,96,33
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_0,5,60.0,96,33
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_0,6,52.0,96,33
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_0,7,46.0,96,33
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_0,8,50.0,96,33
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_0,9,46.0,96,33
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_0,10,48.0,96,33
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_1,1,40.0,40,25
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_1,2,35.0,40,25
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_1,3,26.0,40,25
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_1,4,26.0,40,25
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_1,5,26.0,40,25
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_1,6,26.0,40,25
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_1,7,26.0,40,25
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_1,8,25.0,40,25
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_1,9,27.0,40,25
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_1,10,25.0,40,25
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_2,1,91.0,91,32
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_2,2,63.0,91,32
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_2,3,47.0,91,32
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_2,4,48.0,91,32
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_2,5,49.0,91,32
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_2,6,44.0,91,32
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_2,7,60.0,91,32
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_2,8,49.0,91,32
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_2,9,44.0,91,32
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_2,10,45.0,91,32
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_3,1,85.0,85,39
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_3,2,59.0,85,39
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_3,3,41.0,85,39
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_3,4,48.0,85,39
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_3,5,46.0,85,39
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_3,6,43.0,85,39
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_3,7,82.0,85,39
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_3,8,47.0,85,39
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_3,9,41.0,85,39
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_3,10,70.0,85,39
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_4,1,97.0,97,27
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_4,2,63.0,97,27
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_4,3,53.0,97,27
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_4,4,41.0,97,27
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_4,5,30.0,97,27
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_4,6,31.0,97,27
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_4,7,51.0,97,27
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_4,8,41.0,97,27
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_4,9,39.0,97,27
6966670a-9efb-45ee-a81e-8d478158c1bf,provider_4,10,35.0,97,27
