Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_0,1,83.0,83,25
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_0,2,49.0,83,25
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_0,3,40.0,83,25
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_0,4,38.0,83,25
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_0,5,39.0,83,25
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_0,6,39.0,83,25
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_0,7,42.0,83,25
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_0,8,38.0,83,25
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_0,9,36.0,83,25
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_0,10,34.0,83,25
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_1,1,40.0,40,21
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_1,2,33.0,40,21
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_1,3,28.0,40,21
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_1,4,27.0,40,21
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_1,5,27.0,40,21
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_1,6,27.0,40,21
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_1,7,27.0,40,21
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_1,8,27.0,40,21
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_1,9,25.0,40,21
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_1,10,24.0,40,21
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_2,1,98.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_2,2,59.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_2,3,50.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_2,4,56.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_2,5,48.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_2,6,56.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_2,7,90.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_2,8,52.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_2,9,46.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_2,10,44.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_3,1,98.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_3,2,80.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_3,3,56.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_3,4,45.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_3,5,33.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_3,6,35.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_3,7,53.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_3,8,34.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_3,9,61.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_3,10,54.0,98,33
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_4,1,91.0,91,26
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_4,2,58.0,91,26
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_4,3,49.0,91,26
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_4,4,40.0,91,26
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_4,5,44.0,91,26
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_4,6,81.0,91,26
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_4,7,46.0,91,26
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_4,8,51.0,91,26
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_4,9,40.0,91,26
6a1f540b-6fe1-4fa5-bab1-ce9c90ecde91,provider_4,10,36.0,91,26
