Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_0,1,92.0,92,21
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_0,2,59.0,92,21
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_0,3,49.0,92,21
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_0,4,40.0,92,21
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_0,5,39.0,92,21
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_0,6,75.0,92,21
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_0,7,43.0,92,21
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_0,8,37.0,92,21
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_0,9,34.0,92,21
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_0,10,30.0,92,21
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_1,1,40.0,40,35
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_1,2,38.0,40,35
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_1,3,36.0,40,35
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_1,4,37.0,40,35
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_1,5,38.0,40,35
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_1,6,36.0,40,35
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_1,7,39.0,40,35
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_1,8,36.0,40,35
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_1,9,35.0,40,35
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_1,10,36.0,40,35
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_2,1,84.0,84,38
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_2,2,58.0,84,38
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_2,3,49.0,84,38
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_2,4,44.0,84,38
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_2,5,48.0,84,38
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_2,6,45.0,84,38
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_2,7,52.0,84,38
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_2,8,55.0,84,38
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_2,9,47.0,84,38
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_2,10,83.0,84,38
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_3,1,89.0,89,37
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_3,2,62.0,89,37
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_3,3,52.0,89,37
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_3,4,47.0,89,37
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_3,5,47.0,89,37
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_3,6,44.0,89,37
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_3,7,69.0,89,37
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_3,8,54.0,89,37
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_3,9,49.0,89,37
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_3,10,48.0,89,37
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_4,1,93.0,93,23
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_4,2,60.0,93,23
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_4,3,43.0,93,23
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_4,4,40.0,93,23
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_4,5,41.0,93,23
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_4,6,43.0,93,23
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_4,7,24.0,93,23
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_4,8,46.0,93,23
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_4,9,45.0,93,23
6f5507c5-e6fd-4047-9098-dbdb42574ce6,provider_4,10,40.0,93,23
