Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_0,1,97.0,97,39
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_0,2,79.0,97,39
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_0,3,58.0,97,39
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_0,4,40.0,97,39
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_0,5,64.0,97,39
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_0,6,51.0,97,39
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_0,7,55.0,97,39
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_0,8,62.0,97,39
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_0,9,45.0,97,39
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_0,10,82.0,97,39
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_1,1,40.0,40,20
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_1,2,33.0,40,20
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_1,3,28.0,40,20
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_1,4,27.0,40,20
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_1,5,27.0,40,20
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_1,6,27.0,40,20
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_1,7,27.0,40,20
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_1,8,26.0,40,20
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_1,9,24.0,40,20
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_1,10,23.0,40,20
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_2,1,80.0,80,36
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_2,2,56.0,80,36
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_2,3,48.0,80,36
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_2,4,43.0,80,36
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_2,5,41.0,80,36
73078d39-ac6f-4d38-af39-6eaee39c62eb,provider_2,6,52.0,80,36
