Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
74dc1d49-dbd9-4061-9922-435c36c95389,provider_0,1,91.0,91,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_0,2,58.0,91,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_0,3,50.0,91,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_0,4,46.0,91,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_0,5,48.0,91,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_0,6,48.0,91,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_0,7,49.0,91,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_0,8,45.0,91,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_0,9,44.0,91,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_0,10,42.0,91,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_1,1,40.0,40,35
74dc1d49-dbd9-4061-9922-435c36c95389,provider_1,2,38.0,40,35
74dc1d49-dbd9-4061-9922-435c36c95389,provider_1,3,38.0,40,35
74dc1d49-dbd9-4061-9922-435c36c95389,provider_1,4,39.0,40,35
74dc1d49-dbd9-4061-9922-435c36c95389,provider_1,5,37.0,40,35
74dc1d49-dbd9-4061-9922-435c36c95389,provider_1,6,39.0,40,35
74dc1d49-dbd9-4061-9922-435c36c95389,provider_1,7,37.0,40,35
74dc1d49-dbd9-4061-9922-435c36c95389,provider_1,8,39.0,40,35
74dc1d49-dbd9-4061-9922-435c36c95389,provider_1,9,35.0,40,35
74dc1d49-dbd9-4061-9922-435c36c95389,provider_1,10,37.0,40,35
74dc1d49-dbd9-4061-9922-435c36c95389,provider_2,1,85.0,85,33
74dc1d49-dbd9-4061-9922-435c36c95389,provider_2,2,59.0,85,33
74dc1d49-dbd9-4061-9922-435c36c95389,provider_2,3,42.0,85,33
74dc1d49-dbd9-4061-9922-435c36c95389,provider_2,4,43.0,85,33
74dc1d49-dbd9-4061-9922-435c36c95389,provider_2,5,79.0,85,33
74dc1d49-dbd9-4061-9922-435c36c95389,provider_2,6,61.0,85,33
74dc1d49-dbd9-4061-9922-435c36c95389,provider_2,7,56.0,85,33
74dc1d49-dbd9-4061-9922-435c36c95389,provider_2,8,52.0,85,33
74dc1d49-dbd9-4061-9922-435c36c95389,provider_2,9,48.0,85,33
74dc1d49-dbd9-4061-9922-435c36c95389,provider_2,10,47.0,85,33
74dc1d49-dbd9-4061-9922-435c36c95389,provider_3,1,97.0,97,37
74dc1d49-dbd9-4061-9922-435c36c95389,provider_3,2,79.0,97,37
74dc1d49-dbd9-4061-9922-435c36c95389,provider_3,3,56.0,97,37
74dc1d49-dbd9-4061-9922-435c36c95389,provider_3,4,44.0,97,37
74dc1d49-dbd9-4061-9922-435c36c95389,provider_3,5,70.0,97,37
74dc1d49-dbd9-4061-9922-435c36c95389,provider_3,6,53.0,97,37
74dc1d49-dbd9-4061-9922-435c36c95389,provider_3,7,51.0,97,37
74dc1d49-dbd9-4061-9922-435c36c95389,provider_3,8,52.0,97,37
74dc1d49-dbd9-4061-9922-435c36c95389,provider_3,9,47.0,97,37
74dc1d49-dbd9-4061-9922-435c36c95389,provider_3,10,73.0,97,37
74dc1d49-dbd9-4061-9922-435c36c95389,provider_4,1,86.0,86,26
74dc1d49-dbd9-4061-9922-435c36c95389,provider_4,2,55.0,86,26
74dc1d49-dbd9-4061-9922-435c36c95389,provider_4,3,46.0,86,26
74dc1d49-dbd9-4061-9922-435c36c95389,provider_4,4,44.0,86,26
74dc1d49-dbd9-4061-9922-435c36c95389,provider_4,5,61.0,86,26
74dc1d49-dbd9-4061-9922-435c36c95389,provider_4,6,54.0,86,26
74dc1d49-dbd9-4061-9922-435c36c95389,provider_4,7,45.0,86,26
74dc1d49-dbd9-4061-9922-435c36c95389,provider_4,8,42.0,86,26
74dc1d49-dbd9-4061-9922-435c36c95389,provider_4,9,39.0,86,26
74dc1d49-dbd9-4061-9922-435c36c95389,provider_4,10,35.0,86,26
74dc1d49-dbd9-4061-9922-435c36c95389,provider_5,1,86.0,86,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_5,2,70.0,86,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_5,3,52.0,86,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_5,4,44.0,86,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_5,5,45.0,86,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_5,6,45.0,86,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_5,7,49.0,86,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_5,8,45.0,86,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_5,9,43.0,86,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_5,10,38.0,86,30
74dc1d49-dbd9-4061-9922-435c36c95389,provider_6,1,83.0,83,29
