Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_0,1,97.0,97,28
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_0,2,63.0,97,28
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_0,3,52.0,97,28
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_0,4,33.0,97,28
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_0,5,60.0,97,28
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_0,6,51.0,97,28
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_0,7,41.0,97,28
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_0,8,69.0,97,28
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_0,9,51.0,97,28
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_0,10,46.0,97,28
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_1,1,40.0,40,27
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_1,2,33.0,40,27
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_1,3,33.0,40,27
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_1,4,32.0,40,27
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_1,5,31.0,40,27
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_1,6,31.0,40,27
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_1,7,31.0,40,27
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_1,8,31.0,40,27
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_1,9,27.0,40,27
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_1,10,33.0,40,27
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_2,1,86.0,86,35
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_2,2,55.0,86,35
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_2,3,48.0,86,35
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_2,4,46.0,86,35
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_2,5,46.0,86,35
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_2,6,43.0,86,35
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_2,7,43.0,86,35
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_2,8,51.0,86,35
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_2,9,45.0,86,35
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_2,10,42.0,86,35
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_3,1,93.0,93,39
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_3,2,60.0,93,39
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_3,3,50.0,93,39
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_3,4,55.0,93,39
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_3,5,46.0,93,39
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_3,6,80.0,93,39
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_3,7,65.0,93,39
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_3,8,50.0,93,39
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_3,9,49.0,93,39
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_3,10,43.0,93,39
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_4,1,86.0,86,33
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_4,2,61.0,86,33
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_4,3,51.0,86,33
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_4,4,46.0,86,33
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_4,5,47.0,86,33
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_4,6,42.0,86,33
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_4,7,49.0,86,33
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_4,8,47.0,86,33
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_4,9,45.0,86,33
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_4,10,40.0,86,33
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_5,1,92.0,92,28
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_5,2,75.0,92,28
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_5,3,51.0,92,28
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_5,4,41.0,92,28
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_5,5,42.0,92,28
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_5,6,48.0,92,28
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_5,7,52.0,92,28
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_5,8,43.0,92,28
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_5,9,40.0,92,28
75e7ba66-03b3-42dc-9c50-22966bd2ef69,provider_5,10,37.0,92,28
