Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_0,1,90.0,90,33
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_0,2,76.0,90,33
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_0,3,53.0,90,33
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_0,4,45.0,90,33
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_0,5,47.0,90,33
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_0,6,47.0,90,33
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_0,7,48.0,90,33
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_0,8,51.0,90,33
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_0,9,46.0,90,33
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_0,10,46.0,90,33
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_1,1,40.0,40,32
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_1,2,34.0,40,32
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_1,3,37.0,40,32
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_1,4,38.0,40,32
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_1,5,33.0,40,32
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_1,6,39.0,40,32
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_1,7,32.0,40,32
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_1,8,40.0,40,32
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_1,9,38.0,40,32
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_1,10,34.0,40,32
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_2,1,94.0,94,20
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_2,2,61.0,94,20
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_2,3,45.0,94,20
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_2,4,35.0,94,20
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_2,5,36.0,94,20
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_2,6,25.0,94,20
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_2,7,28.0,94,20
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_2,8,29.0,94,20
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_2,9,31.0,94,20
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_2,10,30.0,94,20
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_3,1,81.0,81,21
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_3,2,52.0,81,21
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_3,3,43.0,81,21
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_3,4,42.0,81,21
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_3,5,37.0,81,21
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_3,6,35.0,81,21
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_3,7,38.0,81,21
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_3,8,36.0,81,21
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_3,9,33.0,81,21
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_3,10,31.0,81,21
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_4,1,88.0,88,24
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_4,2,61.0,88,24
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_4,3,45.0,88,24
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_4,4,40.0,88,24
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_4,5,45.0,88,24
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_4,6,56.0,88,24
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_4,7,48.0,88,24
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_4,8,38.0,88,24
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_4,9,34.0,88,24
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_4,10,31.0,88,24
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_5,1,95.0,95,31
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_5,2,57.0,95,31
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_5,3,47.0,95,31
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_5,4,40.0,95,31
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_5,5,52.0,95,31
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_5,6,41.0,95,31
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_5,7,69.0,95,31
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_5,8,53.0,95,31
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_5,9,38.0,95,31
78d59fc7-0b62-46cb-a5f4-ea635aedc005,provider_5,10,34.0,95,31
