Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_0,1,89.0,89,20
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_0,2,57.0,89,20
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_0,3,47.0,89,20
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_0,4,48.0,89,20
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_0,5,37.0,89,20
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_0,6,36.0,89,20
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_0,7,41.0,89,20
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_0,8,79.0,89,20
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_0,9,49.0,89,20
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_0,10,39.0,89,20
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_1,1,40.0,40,29
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_1,2,34.0,40,29
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_1,3,37.0,40,29
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_1,4,38.0,40,29
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_1,5,39.0,40,29
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_1,6,33.0,40,29
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_1,7,33.0,40,29
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_1,8,32.0,40,29
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_1,9,29.0,40,29
799e272b-f9a4-4395-9971-0be3c5bfc4aa,provider_1,10,31.0,40,29
