Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_0,1,88.0,88,37
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_0,2,61.0,88,37
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_0,3,51.0,88,37
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_0,4,46.0,88,37
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_0,5,44.0,88,37
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_0,6,62.0,88,37
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_0,7,52.0,88,37
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_0,8,47.0,88,37
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_0,9,46.0,88,37
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_0,10,45.0,88,37
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_1,1,40.0,40,21
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_1,2,34.0,40,21
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_1,3,29.0,40,21
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_1,4,28.0,40,21
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_1,5,28.0,40,21
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_1,6,28.0,40,21
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_1,7,28.0,40,21
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_1,8,28.0,40,21
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_1,9,26.0,40,21
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_1,10,23.0,40,21
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_2,1,85.0,85,28
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_2,2,35.0,85,28
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_2,3,36.0,85,28
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_2,4,38.0,85,28
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_2,5,48.0,85,28
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_2,6,43.0,85,28
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_2,7,53.0,85,28
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_2,8,43.0,85,28
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_2,9,42.0,85,28
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_2,10,42.0,85,28
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_3,1,96.0,96,24
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_3,2,62.0,96,24
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_3,3,52.0,96,24
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_3,4,36.0,96,24
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_3,5,35.0,96,24
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_3,6,33.0,96,24
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_3,7,38.0,96,24
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_3,8,41.0,96,24
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_3,9,37.0,96,24
7b11b544-75d9-4f35-b5d2-f4bc35d2dac8,provider_3,10,33.0,96,24
