Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_0,1,88.0,88,24
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_0,2,56.0,88,24
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_0,3,47.0,88,24
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_0,4,42.0,88,24
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_0,5,43.0,88,24
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_0,6,49.0,88,24
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_0,7,49.0,88,24
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_0,8,40.0,88,24
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_0,9,40.0,88,24
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_0,10,36.0,88,24
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_1,1,40.0,40,33
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_1,2,34.0,40,33
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_1,3,38.0,40,33
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_1,4,39.0,40,33
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_1,5,34.0,40,33
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_1,6,36.0,40,33
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_1,7,37.0,40,33
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_1,8,37.0,40,33
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_1,9,39.0,40,33
7b46c5e3-9d3e-486e-ac97-dd67109a4efb,provider_1,10,39.0,40,33
