Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_0,1,84.0,84,37
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_0,2,68.0,84,37
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_0,3,60.0,84,37
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_0,4,46.0,84,37
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_0,5,47.0,84,37
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_0,6,47.0,84,37
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_0,7,47.0,84,37
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_0,8,46.0,84,37
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_0,9,44.0,84,37
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_0,10,41.0,84,37
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_1,1,40.0,40,25
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_1,2,38.0,40,25
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_1,3,32.0,40,25
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_1,4,31.0,40,25
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_1,5,31.0,40,25
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_1,6,31.0,40,25
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_1,7,31.0,40,25
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_1,8,29.0,40,25
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_1,9,28.0,40,25
7c9da0ec-78b0-46d8-8ce2-90be5c79bfd2,provider_1,10,28.0,40,25
