Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_0,1,85.0,85,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_0,2,59.0,85,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_0,3,50.0,85,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_0,4,46.0,85,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_0,5,40.0,85,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_0,6,36.0,85,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_0,7,41.0,85,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_0,8,47.0,85,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_0,9,44.0,85,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_0,10,42.0,85,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_1,1,40.0,40,38
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_1,2,38.0,40,38
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_1,3,38.0,40,38
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_1,4,39.0,40,38
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_1,5,39.0,40,38
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_1,6,39.0,40,38
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_1,7,39.0,40,38
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_1,8,39.0,40,38
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_1,9,38.0,40,38
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_1,10,39.0,40,38
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_2,1,94.0,94,30
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_2,2,61.0,94,30
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_2,3,53.0,94,30
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_2,4,45.0,94,30
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_2,5,58.0,94,30
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_2,6,46.0,94,30
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_2,7,47.0,94,30
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_2,8,38.0,94,30
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_2,9,41.0,94,30
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_2,10,36.0,94,30
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_3,1,99.0,99,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_3,2,60.0,99,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_3,3,51.0,99,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_3,4,28.0,99,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_3,5,46.0,99,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_3,6,35.0,99,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_3,7,35.0,99,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_3,8,40.0,99,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_3,9,36.0,99,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_3,10,70.0,99,26
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_4,1,86.0,86,36
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_4,2,60.0,86,36
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_4,3,51.0,86,36
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_4,4,45.0,86,36
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_4,5,47.0,86,36
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_4,6,56.0,86,36
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_4,7,47.0,86,36
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_4,8,52.0,86,36
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_4,9,52.0,86,36
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_4,10,46.0,86,36
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_5,1,96.0,96,22
7cd54d34-39a6-42a8-9aea-9fc5abdb6872,provider_5,2,62.0,96,22
