Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_0,1,89.0,89,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_0,2,54.0,89,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_0,3,45.0,89,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_0,4,46.0,89,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_0,5,40.0,89,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_0,6,35.0,89,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_0,7,40.0,89,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_0,8,28.0,89,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_0,9,30.0,89,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_0,10,29.0,89,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_1,1,40.0,40,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_1,2,35.0,40,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_1,3,34.0,40,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_1,4,32.0,40,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_1,5,27.0,40,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_1,6,27.0,40,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_1,7,27.0,40,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_1,8,39.0,40,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_1,9,34.0,40,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_1,10,31.0,40,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_2,1,98.0,98,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_2,2,63.0,98,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_2,3,73.0,98,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_2,4,51.0,98,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_2,5,40.0,98,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_2,6,28.0,98,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_2,7,28.0,98,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_2,8,32.0,98,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_2,9,32.0,98,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_2,10,29.0,98,22
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_3,1,85.0,85,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_3,2,61.0,85,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_3,3,45.0,85,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_3,4,50.0,85,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_3,5,69.0,85,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_3,6,55.0,85,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_3,7,47.0,85,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_3,8,42.0,85,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_3,9,38.0,85,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_3,10,34.0,85,26
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_4,1,89.0,89,23
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_4,2,57.0,89,23
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_4,3,48.0,89,23
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_4,4,32.0,89,23
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_4,5,33.0,89,23
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_4,6,41.0,89,23
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_4,7,41.0,89,23
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_4,8,36.0,89,23
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_4,9,32.0,89,23
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_4,10,30.0,89,23
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_5,1,98.0,98,25
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_5,2,62.0,98,25
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_5,3,51.0,98,25
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_5,4,43.0,98,25
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_5,5,78.0,98,25
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_5,6,51.0,98,25
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_5,7,28.0,98,25
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_5,8,53.0,98,25
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_5,9,36.0,98,25
7d91276c-d0c9-4110-87ff-2d7fadec4269,provider_5,10,35.0,98,25
