Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_0,1,80.0,80,29
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_0,2,56.0,80,29
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_0,3,47.0,80,29
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_0,4,45.0,80,29
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_0,5,45.0,80,29
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_0,6,42.0,80,29
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_0,7,42.0,80,29
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_0,8,43.0,80,29
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_0,9,42.0,80,29
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_0,10,37.0,80,29
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_1,1,40.0,40,24
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_1,2,34.0,40,24
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_1,3,29.0,40,24
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_1,4,29.0,40,24
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_1,5,29.0,40,24
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_1,6,29.0,40,24
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_1,7,29.0,40,24
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_1,8,29.0,40,24
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_1,9,27.0,40,24
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_1,10,25.0,40,24
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_2,1,93.0,93,32
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_2,2,59.0,93,32
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_2,3,49.0,93,32
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_2,4,46.0,93,32
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_2,5,48.0,93,32
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_2,6,71.0,93,32
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_2,7,53.0,93,32
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_2,8,41.0,93,32
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_2,9,81.0,93,32
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_2,10,51.0,93,32
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_3,1,86.0,86,28
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_3,2,70.0,86,28
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_3,3,52.0,86,28
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_3,4,36.0,86,28
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_3,5,39.0,86,28
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_3,6,38.0,86,28
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_3,7,41.0,86,28
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_3,8,42.0,86,28
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_3,9,39.0,86,28
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_3,10,39.0,86,28
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_4,1,88.0,88,21
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_4,2,57.0,88,21
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_4,3,48.0,88,21
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_4,4,39.0,88,21
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_4,5,38.0,88,21
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_4,6,38.0,88,21
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_4,7,31.0,88,21
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_4,8,31.0,88,21
7ecfd529-50e0-4b46-b1c4-79133ab768d7,provider_4,9,30.0,88,21
