Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_0,1,97.0,97,37
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_0,2,62.0,97,37
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_0,3,52.0,97,37
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_0,4,74.0,97,37
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_0,5,55.0,97,37
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_0,6,52.0,97,37
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_0,7,54.0,97,37
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_0,8,49.0,97,37
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_0,9,43.0,97,37
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_0,10,43.0,97,37
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_1,1,40.0,40,24
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_1,2,34.0,40,24
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_1,3,29.0,40,24
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_1,4,32.0,40,24
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_1,5,31.0,40,24
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_1,6,31.0,40,24
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_1,7,31.0,40,24
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_1,8,29.0,40,24
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_1,9,30.0,40,24
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_1,10,38.0,40,24
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_2,1,97.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_2,2,62.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_2,3,52.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_2,4,42.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_2,5,71.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_2,6,55.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_2,7,54.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_2,8,46.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_2,9,37.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_2,10,34.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_3,1,91.0,91,33
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_3,2,74.0,91,33
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_3,3,51.0,91,33
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_3,4,47.0,91,33
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_3,5,49.0,91,33
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_3,6,48.0,91,33
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_3,7,54.0,91,33
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_3,8,50.0,91,33
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_3,9,47.0,91,33
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_3,10,42.0,91,33
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_4,1,90.0,90,23
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_4,2,58.0,90,23
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_4,3,49.0,90,23
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_4,4,43.0,90,23
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_4,5,44.0,90,23
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_4,6,74.0,90,23
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_4,7,48.0,90,23
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_4,8,42.0,90,23
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_4,9,37.0,90,23
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_4,10,35.0,90,23
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_5,1,97.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_5,2,59.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_5,3,49.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_5,4,36.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_5,5,37.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_5,6,46.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_5,7,53.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_5,8,42.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_5,9,37.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_5,10,33.0,97,26
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_6,1,99.0,99,35
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_6,2,49.0,99,35
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_6,3,50.0,99,35
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_6,4,56.0,99,35
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_6,5,54.0,99,35
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_6,6,49.0,99,35
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_6,7,50.0,99,35
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_6,8,80.0,99,35
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_6,9,68.0,99,35
803b6a10-3296-4777-8c75-1b0b9359a04b,provider_6,10,85.0,99,35
