Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
815526b2-78d6-4975-afbd-398dc2159a99,provider_0,1,84.0,84,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_0,2,58.0,84,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_0,3,48.0,84,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_0,4,50.0,84,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_0,5,43.0,84,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_0,6,83.0,84,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_0,7,68.0,84,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_0,8,39.0,84,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_0,9,60.0,84,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_0,10,55.0,84,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_1,1,40.0,40,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_1,2,38.0,40,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_1,3,39.0,40,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_1,4,39.0,40,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_1,5,39.0,40,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_1,6,39.0,40,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_1,7,39.0,40,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_1,8,38.0,40,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_1,9,39.0,40,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_1,10,38.0,40,38
815526b2-78d6-4975-afbd-398dc2159a99,provider_2,1,89.0,89,30
815526b2-78d6-4975-afbd-398dc2159a99,provider_2,2,57.0,89,30
815526b2-78d6-4975-afbd-398dc2159a99,provider_2,3,42.0,89,30
815526b2-78d6-4975-afbd-398dc2159a99,provider_2,4,71.0,89,30
815526b2-78d6-4975-afbd-398dc2159a99,provider_2,5,60.0,89,30
815526b2-78d6-4975-afbd-398dc2159a99,provider_2,6,51.0,89,30
815526b2-78d6-4975-afbd-398dc2159a99,provider_2,7,55.0,89,30
815526b2-78d6-4975-afbd-398dc2159a99,provider_2,8,43.0,89,30
815526b2-78d6-4975-afbd-398dc2159a99,provider_2,9,38.0,89,30
815526b2-78d6-4975-afbd-398dc2159a99,provider_2,10,34.0,89,30
815526b2-78d6-4975-afbd-398dc2159a99,provider_3,1,92.0,92,21
815526b2-78d6-4975-afbd-398dc2159a99,provider_3,2,59.0,92,21
815526b2-78d6-4975-afbd-398dc2159a99,provider_3,3,42.0,92,21
815526b2-78d6-4975-afbd-398dc2159a99,provider_3,4,34.0,92,21
815526b2-78d6-4975-afbd-398dc2159a99,provider_3,5,35.0,92,21
815526b2-78d6-4975-afbd-398dc2159a99,provider_3,6,36.0,92,21
815526b2-78d6-4975-afbd-398dc2159a99,provider_3,7,39.0,92,21
815526b2-78d6-4975-afbd-398dc2159a99,provider_3,8,31.0,92,21
815526b2-78d6-4975-afbd-398dc2159a99,provider_3,9,31.0,92,21
815526b2-78d6-4975-afbd-398dc2159a99,provider_3,10,31.0,92,21
815526b2-78d6-4975-afbd-398dc2159a99,provider_4,1,80.0,80,25
815526b2-78d6-4975-afbd-398dc2159a99,provider_4,2,56.0,80,25
815526b2-78d6-4975-afbd-398dc2159a99,provider_4,3,47.0,80,25
815526b2-78d6-4975-afbd-398dc2159a99,provider_4,4,45.0,80,25
815526b2-78d6-4975-afbd-398dc2159a99,provider_4,5,40.0,80,25
815526b2-78d6-4975-afbd-398dc2159a99,provider_4,6,42.0,80,25
815526b2-78d6-4975-afbd-398dc2159a99,provider_4,7,42.0,80,25
815526b2-78d6-4975-afbd-398dc2159a99,provider_4,8,39.0,80,25
815526b2-78d6-4975-afbd-398dc2159a99,provider_4,9,38.0,80,25
815526b2-78d6-4975-afbd-398dc2159a99,provider_4,10,34.0,80,25
815526b2-78d6-4975-afbd-398dc2159a99,provider_5,1,99.0,99,33
815526b2-78d6-4975-afbd-398dc2159a99,provider_5,2,63.0,99,33
815526b2-78d6-4975-afbd-398dc2159a99,provider_5,3,52.0,99,33
815526b2-78d6-4975-afbd-398dc2159a99,provider_5,4,39.0,99,33
815526b2-78d6-4975-afbd-398dc2159a99,provider_5,5,42.0,99,33
815526b2-78d6-4975-afbd-398dc2159a99,provider_5,6,44.0,99,33
815526b2-78d6-4975-afbd-398dc2159a99,provider_5,7,49.0,99,33
815526b2-78d6-4975-afbd-398dc2159a99,provider_5,8,40.0,99,33
815526b2-78d6-4975-afbd-398dc2159a99,provider_5,9,44.0,99,33
815526b2-78d6-4975-afbd-398dc2159a99,provider_5,10,40.0,99,33
815526b2-78d6-4975-afbd-398dc2159a99,provider_6,1,94.0,94,30
815526b2-78d6-4975-afbd-398dc2159a99,provider_6,2,57.0,94,30
815526b2-78d6-4975-afbd-398dc2159a99,provider_6,3,49.0,94,30
815526b2-78d6-4975-afbd-398dc2159a99,provider_6,4,43.0,94,30
815526b2-78d6-4975-afbd-398dc2159a99,provider_6,5,84.0,94,30
815526b2-78d6-4975-afbd-398dc2159a99,provider_6,6,51.0,94,30
815526b2-78d6-4975-afbd-398dc2159a99,provider_6,7,52.0,94,30
815526b2-78d6-4975-afbd-398dc2159a99,provider_6,8,47.0,94,30
815526b2-78d6-4975-afbd-398dc2159a99,provider_6,9,39.0,94,30
815526b2-78d6-4975-afbd-398dc2159a99,provider_6,10,63.0,94,30
