Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
81ebe228-b06b-455a-8974-233b58e98132,provider_0,1,80.0,80,31
81ebe228-b06b-455a-8974-233b58e98132,provider_0,2,65.0,80,31
81ebe228-b06b-455a-8974-233b58e98132,provider_0,3,45.0,80,31
81ebe228-b06b-455a-8974-233b58e98132,provider_0,4,44.0,80,31
81ebe228-b06b-455a-8974-233b58e98132,provider_0,5,47.0,80,31
81ebe228-b06b-455a-8974-233b58e98132,provider_0,6,45.0,80,31
81ebe228-b06b-455a-8974-233b58e98132,provider_0,7,45.0,80,31
81ebe228-b06b-455a-8974-233b58e98132,provider_0,8,42.0,80,31
81ebe228-b06b-455a-8974-233b58e98132,provider_0,9,39.0,80,31
81ebe228-b06b-455a-8974-233b58e98132,provider_0,10,40.0,80,31
81ebe228-b06b-455a-8974-233b58e98132,provider_1,1,40.0,40,27
81ebe228-b06b-455a-8974-233b58e98132,provider_1,2,34.0,40,27
81ebe228-b06b-455a-8974-233b58e98132,provider_1,3,30.0,40,27
81ebe228-b06b-455a-8974-233b58e98132,provider_1,4,34.0,40,27
81ebe228-b06b-455a-8974-233b58e98132,provider_1,5,29.0,40,27
81ebe228-b06b-455a-8974-233b58e98132,provider_1,6,33.0,40,27
81ebe228-b06b-455a-8974-233b58e98132,provider_1,7,33.0,40,27
81ebe228-b06b-455a-8974-233b58e98132,provider_1,8,31.0,40,27
81ebe228-b06b-455a-8974-233b58e98132,provider_1,9,28.0,40,27
81ebe228-b06b-455a-8974-233b58e98132,provider_1,10,37.0,40,27
81ebe228-b06b-455a-8974-233b58e98132,provider_2,1,89.0,89,29
81ebe228-b06b-455a-8974-233b58e98132,provider_2,2,54.0,89,29
81ebe228-b06b-455a-8974-233b58e98132,provider_2,3,46.0,89,29
81ebe228-b06b-455a-8974-233b58e98132,provider_2,4,44.0,89,29
81ebe228-b06b-455a-8974-233b58e98132,provider_2,5,42.0,89,29
81ebe228-b06b-455a-8974-233b58e98132,provider_2,6,44.0,89,29
81ebe228-b06b-455a-8974-233b58e98132,provider_2,7,51.0,89,29
81ebe228-b06b-455a-8974-233b58e98132,provider_2,8,47.0,89,29
81ebe228-b06b-455a-8974-233b58e98132,provider_2,9,43.0,89,29
81ebe228-b06b-455a-8974-233b58e98132,provider_2,10,39.0,89,29
81ebe228-b06b-455a-8974-233b58e98132,provider_3,1,95.0,95,35
81ebe228-b06b-455a-8974-233b58e98132,provider_3,2,77.0,95,35
81ebe228-b06b-455a-8974-233b58e98132,provider_3,3,53.0,95,35
81ebe228-b06b-455a-8974-233b58e98132,provider_3,4,61.0,95,35
81ebe228-b06b-455a-8974-233b58e98132,provider_3,5,72.0,95,35
81ebe228-b06b-455a-8974-233b58e98132,provider_3,6,66.0,95,35
81ebe228-b06b-455a-8974-233b58e98132,provider_3,7,91.0,95,35
81ebe228-b06b-455a-8974-233b58e98132,provider_3,8,61.0,95,35
81ebe228-b06b-455a-8974-233b58e98132,provider_3,9,43.0,95,35
81ebe228-b06b-455a-8974-233b58e98132,provider_3,10,44.0,95,35
81ebe228-b06b-455a-8974-233b58e98132,provider_4,1,80.0,80,34
81ebe228-b06b-455a-8974-233b58e98132,provider_4,2,60.0,80,34
81ebe228-b06b-455a-8974-233b58e98132,provider_4,3,46.0,80,34
81ebe228-b06b-455a-8974-233b58e98132,provider_4,4,41.0,80,34
81ebe228-b06b-455a-8974-233b58e98132,provider_4,5,79.0,80,34
81ebe228-b06b-455a-8974-233b58e98132,provider_4,6,48.0,80,34
81ebe228-b06b-455a-8974-233b58e98132,provider_4,7,48.0,80,34
81ebe228-b06b-455a-8974-233b58e98132,provider_4,8,46.0,80,34
81ebe228-b06b-455a-8974-233b58e98132,provider_4,9,42.0,80,34
81ebe228-b06b-455a-8974-233b58e98132,provider_4,10,41.0,80,34
81ebe228-b06b-455a-8974-233b58e98132,provider_5,1,80.0,80,37
81ebe228-b06b-455a-8974-233b58e98132,provider_5,2,56.0,80,37
81ebe228-b06b-455a-8974-233b58e98132,provider_5,3,48.0,80,37
81ebe228-b06b-455a-8974-233b58e98132,provider_5,4,53.0,80,37
81ebe228-b06b-455a-8974-233b58e98132,provider_5,5,44.0,80,37
81ebe228-b06b-455a-8974-233b58e98132,provider_5,6,45.0,80,37
81ebe228-b06b-455a-8974-233b58e98132,provider_5,7,49.0,80,37
81ebe228-b06b-455a-8974-233b58e98132,provider_5,8,42.0,80,37
81ebe228-b06b-455a-8974-233b58e98132,provider_5,9,63.0,80,37
81ebe228-b06b-455a-8974-233b58e98132,provider_5,10,44.0,80,37
81ebe228-b06b-455a-8974-233b58e98132,provider_6,1,94.0,94,39
81ebe228-b06b-455a-8974-233b58e98132,provider_6,2,77.0,94,39
81ebe228-b06b-455a-8974-233b58e98132,provider_6,3,63.0,94,39
81ebe228-b06b-455a-8974-233b58e98132,provider_6,4,50.0,94,39
81ebe228-b06b-455a-8974-233b58e98132,provider_6,5,43.0,94,39
81ebe228-b06b-455a-8974-233b58e98132,provider_6,6,69.0,94,39
81ebe228-b06b-455a-8974-233b58e98132,provider_6,7,51.0,94,39
81ebe228-b06b-455a-8974-233b58e98132,provider_6,8,53.0,94,39
81ebe228-b06b-455a-8974-233b58e98132,provider_6,9,75.0,94,39
81ebe228-b06b-455a-8974-233b58e98132,provider_6,10,46.0,94,39
81ebe228-b06b-455a-8974-233b58e98132,provider_7,1,97.0,97,20
81ebe228-b06b-455a-8974-233b58e98132,provider_7,2,62.0,97,20
81ebe228-b06b-455a-8974-233b58e98132,provider_7,3,50.0,97,20
