Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_0,1,91.0,91,21
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_0,2,59.0,91,21
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_0,3,49.0,91,21
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_0,4,43.0,91,21
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_0,5,44.0,91,21
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_0,6,31.0,91,21
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_0,7,35.0,91,21
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_0,8,38.0,91,21
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_0,9,35.0,91,21
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_0,10,31.0,91,21
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_1,1,40.0,40,35
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_1,2,38.0,40,35
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_1,3,38.0,40,35
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_1,4,39.0,40,35
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_1,5,39.0,40,35
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_1,6,39.0,40,35
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_1,7,39.0,40,35
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_1,8,35.0,40,35
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_1,9,37.0,40,35
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_1,10,37.0,40,35
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_2,1,82.0,82,20
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_2,2,53.0,82,20
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_2,3,44.0,82,20
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_2,4,42.0,82,20
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_2,5,43.0,82,20
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_2,6,39.0,82,20
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_2,7,49.0,82,20
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_2,8,40.0,82,20
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_2,9,33.0,82,20
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_2,10,31.0,82,20
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_3,1,93.0,93,26
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_3,2,56.0,93,26
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_3,3,47.0,93,26
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_3,4,41.0,93,26
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_3,5,42.0,93,26
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_3,6,40.0,93,26
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_3,7,43.0,93,26
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_3,8,35.0,93,26
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_3,9,46.0,93,26
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_3,10,40.0,93,26
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_4,1,90.0,90,37
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_4,2,73.0,90,37
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_4,3,54.0,90,37
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_4,4,45.0,90,37
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_4,5,56.0,90,37
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_4,6,48.0,90,37
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_4,7,49.0,90,37
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_4,8,50.0,90,37
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_4,9,45.0,90,37
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_4,10,45.0,90,37
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_5,1,85.0,85,38
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_5,2,59.0,85,38
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_5,3,49.0,85,38
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_5,4,51.0,85,38
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_5,5,51.0,85,38
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_5,6,49.0,85,38
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_5,7,50.0,85,38
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_5,8,65.0,85,38
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_5,9,45.0,85,38
83f71d03-7ef1-480c-8190-7fa0e5cec757,provider_5,10,42.0,85,38
