Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_0,1,92.0,92,37
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_0,2,64.0,92,37
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_0,3,40.0,92,37
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_0,4,73.0,92,37
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_0,5,64.0,92,37
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_0,6,54.0,92,37
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_0,7,58.0,92,37
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_0,8,51.0,92,37
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_0,9,47.0,92,37
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_0,10,40.0,92,37
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_1,1,40.0,40,28
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_1,2,34.0,40,28
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_1,3,29.0,40,28
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_1,4,29.0,40,28
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_1,5,29.0,40,28
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_1,6,29.0,40,28
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_1,7,32.0,40,28
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_1,8,30.0,40,28
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_1,9,28.0,40,28
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_1,10,31.0,40,28
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_2,1,90.0,90,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_2,2,37.0,90,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_2,3,38.0,90,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_2,4,39.0,90,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_2,5,38.0,90,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_2,6,40.0,90,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_2,7,40.0,90,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_2,8,38.0,90,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_2,9,37.0,90,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_2,10,32.0,90,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_3,1,93.0,93,22
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_3,2,60.0,93,22
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_3,3,50.0,93,22
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_3,4,41.0,93,22
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_3,5,42.0,93,22
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_3,6,29.0,93,22
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_3,7,32.0,93,22
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_3,8,37.0,93,22
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_3,9,34.0,93,22
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_3,10,31.0,93,22
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_4,1,91.0,91,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_4,2,59.0,91,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_4,3,50.0,91,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_4,4,48.0,91,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_4,5,42.0,91,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_4,6,39.0,91,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_4,7,43.0,91,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_4,8,35.0,91,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_4,9,32.0,91,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_4,10,29.0,91,24
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_5,1,95.0,95,21
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_5,2,57.0,95,21
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_5,3,47.0,95,21
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_5,4,48.0,95,21
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_5,5,31.0,95,21
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_5,6,31.0,95,21
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_5,7,31.0,95,21
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_5,8,50.0,95,21
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_5,9,41.0,95,21
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_5,10,31.0,95,21
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_6,1,91.0,91,29
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_6,2,74.0,91,29
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_6,3,29.0,91,29
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_6,4,37.0,91,29
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_6,5,48.0,91,29
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_6,6,39.0,91,29
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_6,7,40.0,91,29
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_6,8,32.0,91,29
874f99bb-a57f-4217-b7ed-bd17667f1ae9,provider_6,9,55.0,91,29
