Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
875dec72-cb2e-44aa-a986-3a416a075413,provider_0,1,91.0,91,25
875dec72-cb2e-44aa-a986-3a416a075413,provider_0,2,58.0,91,25
875dec72-cb2e-44aa-a986-3a416a075413,provider_0,3,49.0,91,25
875dec72-cb2e-44aa-a986-3a416a075413,provider_0,4,61.0,91,25
875dec72-cb2e-44aa-a986-3a416a075413,provider_0,5,51.0,91,25
875dec72-cb2e-44aa-a986-3a416a075413,provider_0,6,39.0,91,25
875dec72-cb2e-44aa-a986-3a416a075413,provider_0,7,45.0,91,25
875dec72-cb2e-44aa-a986-3a416a075413,provider_0,8,27.0,91,25
875dec72-cb2e-44aa-a986-3a416a075413,provider_0,9,34.0,91,25
875dec72-cb2e-44aa-a986-3a416a075413,provider_0,10,30.0,91,25
875dec72-cb2e-44aa-a986-3a416a075413,provider_1,1,40.0,40,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_1,2,38.0,40,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_1,3,32.0,40,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_1,4,35.0,40,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_1,5,38.0,40,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_1,6,36.0,40,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_1,7,37.0,40,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_1,8,30.0,40,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_1,9,35.0,40,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_1,10,33.0,40,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_2,1,91.0,91,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_2,2,58.0,91,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_2,3,43.0,91,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_2,4,45.0,91,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_2,5,81.0,91,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_2,6,66.0,91,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_2,7,42.0,91,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_2,8,43.0,91,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_2,9,40.0,91,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_2,10,40.0,91,30
875dec72-cb2e-44aa-a986-3a416a075413,provider_3,1,86.0,86,22
875dec72-cb2e-44aa-a986-3a416a075413,provider_3,2,51.0,86,22
875dec72-cb2e-44aa-a986-3a416a075413,provider_3,3,42.0,86,22
875dec72-cb2e-44aa-a986-3a416a075413,provider_3,4,43.0,86,22
875dec72-cb2e-44aa-a986-3a416a075413,provider_3,5,44.0,86,22
875dec72-cb2e-44aa-a986-3a416a075413,provider_3,6,77.0,86,22
875dec72-cb2e-44aa-a986-3a416a075413,provider_3,7,38.0,86,22
875dec72-cb2e-44aa-a986-3a416a075413,provider_3,8,38.0,86,22
875dec72-cb2e-44aa-a986-3a416a075413,provider_3,9,34.0,86,22
875dec72-cb2e-44aa-a986-3a416a075413,provider_3,10,31.0,86,22
875dec72-cb2e-44aa-a986-3a416a075413,provider_4,1,84.0,84,37
