Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
89df4364-bc46-4737-a895-dd5467875925,provider_0,1,83.0,83,29
89df4364-bc46-4737-a895-dd5467875925,provider_0,2,53.0,83,29
89df4364-bc46-4737-a895-dd5467875925,provider_0,3,75.0,83,29
89df4364-bc46-4737-a895-dd5467875925,provider_0,4,52.0,83,29
89df4364-bc46-4737-a895-dd5467875925,provider_0,5,40.0,83,29
89df4364-bc46-4737-a895-dd5467875925,provider_0,6,43.0,83,29
89df4364-bc46-4737-a895-dd5467875925,provider_0,7,46.0,83,29
89df4364-bc46-4737-a895-dd5467875925,provider_0,8,41.0,83,29
89df4364-bc46-4737-a895-dd5467875925,provider_0,9,41.0,83,29
89df4364-bc46-4737-a895-dd5467875925,provider_0,10,37.0,83,29
89df4364-bc46-4737-a895-dd5467875925,provider_1,1,40.0,40,32
89df4364-bc46-4737-a895-dd5467875925,provider_1,2,32.0,40,32
89df4364-bc46-4737-a895-dd5467875925,provider_1,3,37.0,40,32
89df4364-bc46-4737-a895-dd5467875925,provider_1,4,35.0,40,32
89df4364-bc46-4737-a895-dd5467875925,provider_1,5,36.0,40,32
89df4364-bc46-4737-a895-dd5467875925,provider_1,6,34.0,40,32
89df4364-bc46-4737-a895-dd5467875925,provider_1,7,33.0,40,32
89df4364-bc46-4737-a895-dd5467875925,provider_1,8,35.0,40,32
89df4364-bc46-4737-a895-dd5467875925,provider_1,9,34.0,40,32
89df4364-bc46-4737-a895-dd5467875925,provider_1,10,39.0,40,32
89df4364-bc46-4737-a895-dd5467875925,provider_2,1,94.0,94,25
89df4364-bc46-4737-a895-dd5467875925,provider_2,2,60.0,94,25
89df4364-bc46-4737-a895-dd5467875925,provider_2,3,49.0,94,25
89df4364-bc46-4737-a895-dd5467875925,provider_2,4,38.0,94,25
89df4364-bc46-4737-a895-dd5467875925,provider_2,5,42.0,94,25
89df4364-bc46-4737-a895-dd5467875925,provider_2,6,30.0,94,25
89df4364-bc46-4737-a895-dd5467875925,provider_2,7,36.0,94,25
89df4364-bc46-4737-a895-dd5467875925,provider_2,8,62.0,94,25
89df4364-bc46-4737-a895-dd5467875925,provider_2,9,52.0,94,25
89df4364-bc46-4737-a895-dd5467875925,provider_2,10,34.0,94,25
89df4364-bc46-4737-a895-dd5467875925,provider_3,1,93.0,93,22
89df4364-bc46-4737-a895-dd5467875925,provider_3,2,60.0,93,22
89df4364-bc46-4737-a895-dd5467875925,provider_3,3,42.0,93,22
89df4364-bc46-4737-a895-dd5467875925,provider_3,4,34.0,93,22
89df4364-bc46-4737-a895-dd5467875925,provider_3,5,35.0,93,22
89df4364-bc46-4737-a895-dd5467875925,provider_3,6,40.0,93,22
89df4364-bc46-4737-a895-dd5467875925,provider_3,7,45.0,93,22
89df4364-bc46-4737-a895-dd5467875925,provider_3,8,36.0,93,22
89df4364-bc46-4737-a895-dd5467875925,provider_3,9,58.0,93,22
89df4364-bc46-4737-a895-dd5467875925,provider_3,10,45.0,93,22
89df4364-bc46-4737-a895-dd5467875925,provider_4,1,98.0,98,26
89df4364-bc46-4737-a895-dd5467875925,provider_4,2,47.0,98,26
89df4364-bc46-4737-a895-dd5467875925,provider_4,3,38.0,98,26
89df4364-bc46-4737-a895-dd5467875925,provider_4,4,26.0,98,26
89df4364-bc46-4737-a895-dd5467875925,provider_4,5,41.0,98,26
89df4364-bc46-4737-a895-dd5467875925,provider_4,6,51.0,98,26
89df4364-bc46-4737-a895-dd5467875925,provider_4,7,42.0,98,26
89df4364-bc46-4737-a895-dd5467875925,provider_4,8,49.0,98,26
89df4364-bc46-4737-a895-dd5467875925,provider_4,9,34.0,98,26
89df4364-bc46-4737-a895-dd5467875925,provider_4,10,54.0,98,26
89df4364-bc46-4737-a895-dd5467875925,provider_5,1,81.0,81,39
89df4364-bc46-4737-a895-dd5467875925,provider_5,2,66.0,81,39
89df4364-bc46-4737-a895-dd5467875925,provider_5,3,51.0,81,39
89df4364-bc46-4737-a895-dd5467875925,provider_5,4,48.0,81,39
89df4364-bc46-4737-a895-dd5467875925,provider_5,5,40.0,81,39
89df4364-bc46-4737-a895-dd5467875925,provider_5,6,79.0,81,39
89df4364-bc46-4737-a895-dd5467875925,provider_5,7,59.0,81,39
89df4364-bc46-4737-a895-dd5467875925,provider_5,8,41.0,81,39
89df4364-bc46-4737-a895-dd5467875925,provider_5,9,70.0,81,39
89df4364-bc46-4737-a895-dd5467875925,provider_5,10,61.0,81,39
89df4364-bc46-4737-a895-dd5467875925,provider_6,1,86.0,86,31
89df4364-bc46-4737-a895-dd5467875925,provider_6,2,70.0,86,31
89df4364-bc46-4737-a895-dd5467875925,provider_6,3,51.0,86,31
89df4364-bc46-4737-a895-dd5467875925,provider_6,4,44.0,86,31
89df4364-bc46-4737-a895-dd5467875925,provider_6,5,46.0,86,31
89df4364-bc46-4737-a895-dd5467875925,provider_6,6,43.0,86,31
89df4364-bc46-4737-a895-dd5467875925,provider_6,7,59.0,86,31
89df4364-bc46-4737-a895-dd5467875925,provider_6,8,53.0,86,31
89df4364-bc46-4737-a895-dd5467875925,provider_6,9,47.0,86,31
89df4364-bc46-4737-a895-dd5467875925,provider_6,10,42.0,86,31
89df4364-bc46-4737-a895-dd5467875925,provider_7,1,89.0,89,21
89df4364-bc46-4737-a895-dd5467875925,provider_7,2,57.0,89,21
89df4364-bc46-4737-a895-dd5467875925,provider_7,3,35.0,89,21
89df4364-bc46-4737-a895-dd5467875925,provider_7,4,36.0,89,21
89df4364-bc46-4737-a895-dd5467875925,provider_7,5,37.0,89,21
89df4364-bc46-4737-a895-dd5467875925,provider_7,6,39.0,89,21
89df4364-bc46-4737-a895-dd5467875925,provider_7,7,32.0,89,21
89df4364-bc46-4737-a895-dd5467875925,provider_7,8,37.0,89,21
89df4364-bc46-4737-a895-dd5467875925,provider_7,9,30.0,89,21
89df4364-bc46-4737-a895-dd5467875925,provider_7,10,30.0,89,21
