Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_0,1,87.0,87,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_0,2,55.0,87,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_0,3,45.0,87,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_0,4,37.0,87,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_0,5,70.0,87,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_0,6,54.0,87,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_0,7,44.0,87,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_0,8,36.0,87,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_0,9,33.0,87,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_0,10,29.0,87,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_1,1,40.0,40,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_1,2,33.0,40,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_1,3,28.0,40,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_1,4,27.0,40,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_1,5,27.0,40,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_1,6,27.0,40,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_1,7,27.0,40,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_1,8,27.0,40,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_1,9,25.0,40,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_1,10,23.0,40,21
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_2,1,80.0,80,38
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_2,2,65.0,80,38
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_2,3,48.0,80,38
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_2,4,41.0,80,38
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_2,5,78.0,80,38
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_2,6,63.0,80,38
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_2,7,48.0,80,38
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_2,8,45.0,80,38
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_2,9,40.0,80,38
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_2,10,60.0,80,38
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_3,1,90.0,90,25
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_3,2,62.0,90,25
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_3,3,44.0,90,25
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_3,4,36.0,90,25
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_3,5,37.0,90,25
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_3,6,73.0,90,25
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_3,7,54.0,90,25
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_3,8,42.0,90,25
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_3,9,38.0,90,25
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_3,10,34.0,90,25
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_4,1,82.0,82,37
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_4,2,57.0,82,37
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_4,3,47.0,82,37
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_4,4,45.0,82,37
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_4,5,74.0,82,37
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_4,6,48.0,82,37
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_4,7,52.0,82,37
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_4,8,42.0,82,37
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_4,9,39.0,82,37
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_4,10,43.0,82,37
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_5,1,80.0,80,24
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_5,2,56.0,80,24
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_5,3,47.0,80,24
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_5,4,52.0,80,24
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_5,5,24.0,80,24
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_5,6,43.0,80,24
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_5,7,43.0,80,24
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_5,8,40.0,80,24
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_5,9,38.0,80,24
8cad5142-f5b1-41ab-a22b-7ead4d470169,provider_5,10,35.0,80,24
