Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_0,1,83.0,83,25
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_0,2,68.0,83,25
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_0,3,55.0,83,25
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_0,4,46.0,83,25
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_0,5,44.0,83,25
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_0,6,43.0,83,25
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_0,7,44.0,83,25
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_0,8,41.0,83,25
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_0,9,38.0,83,25
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_0,10,35.0,83,25
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_1,1,40.0,40,21
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_1,2,34.0,40,21
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_1,3,29.0,40,21
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_1,4,28.0,40,21
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_1,5,28.0,40,21
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_1,6,28.0,40,21
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_1,7,28.0,40,21
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_1,8,27.0,40,21
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_1,9,27.0,40,21
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_1,10,26.0,40,21
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_2,1,99.0,99,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_2,2,69.0,99,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_2,3,57.0,99,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_2,4,40.0,99,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_2,5,56.0,99,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_2,6,49.0,99,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_2,7,51.0,99,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_2,8,46.0,99,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_2,9,42.0,99,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_2,10,63.0,99,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_3,1,85.0,85,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_3,2,69.0,85,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_3,3,51.0,85,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_3,4,45.0,85,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_3,5,49.0,85,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_3,6,48.0,85,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_3,7,50.0,85,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_3,8,45.0,85,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_3,9,42.0,85,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_3,10,49.0,85,34
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_4,1,92.0,92,39
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_4,2,53.0,92,39
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_4,3,84.0,92,39
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_4,4,63.0,92,39
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_4,5,68.0,92,39
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_4,6,58.0,92,39
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_4,7,76.0,92,39
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_4,8,44.0,92,39
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_4,9,47.0,92,39
8da98cf0-4ec5-4a15-a927-cd18a9f5ed78,provider_4,10,63.0,92,39
