Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_0,1,91.0,91,39
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_0,2,39.0,91,39
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_0,3,64.0,91,39
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_0,4,53.0,91,39
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_0,5,87.0,91,39
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_0,6,64.0,91,39
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_0,7,54.0,91,39
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_0,8,89.0,91,39
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_0,9,60.0,91,39
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_0,10,61.0,91,39
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_1,1,40.0,40,20
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_1,2,30.0,40,20
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_1,3,28.0,40,20
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_1,4,26.0,40,20
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_1,5,26.0,40,20
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_1,6,26.0,40,20
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_1,7,24.0,40,20
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_1,8,24.0,40,20
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_1,9,24.0,40,20
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_1,10,24.0,40,20
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_2,1,86.0,86,23
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_2,2,55.0,86,23
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_2,3,46.0,86,23
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_2,4,44.0,86,23
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_2,5,45.0,86,23
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_2,6,41.0,86,23
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_2,7,43.0,86,23
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_2,8,33.0,86,23
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_2,9,39.0,86,23
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_2,10,32.0,86,23
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_3,1,87.0,87,21
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_3,2,56.0,87,21
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_3,3,47.0,87,21
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_3,4,38.0,87,21
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_3,5,39.0,87,21
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_3,6,40.0,87,21
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_3,7,40.0,87,21
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_3,8,33.0,87,21
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_3,9,33.0,87,21
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_3,10,30.0,87,21
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_4,1,85.0,85,33
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_4,2,69.0,85,33
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_4,3,38.0,85,33
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_4,4,56.0,85,33
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_4,5,47.0,85,33
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_4,6,54.0,85,33
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_4,7,45.0,85,33
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_4,8,46.0,85,33
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_4,9,45.0,85,33
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_4,10,39.0,85,33
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_5,1,82.0,82,34
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_5,2,67.0,82,34
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_5,3,56.0,82,34
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_5,4,43.0,82,34
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_5,5,47.0,82,34
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_5,6,46.0,82,34
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_5,7,47.0,82,34
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_5,8,42.0,82,34
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_5,9,52.0,82,34
90ca6549-f85f-4c31-83b7-3e653c1c8c2e,provider_5,10,42.0,82,34
