Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_0,1,84.0,84,32
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_0,2,68.0,84,32
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_0,3,55.0,84,32
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_0,4,42.0,84,32
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_0,5,44.0,84,32
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_0,6,47.0,84,32
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_0,7,46.0,84,32
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_0,8,43.0,84,32
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_0,9,41.0,84,32
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_0,10,37.0,84,32
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_1,1,40.0,40,31
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_1,2,32.0,40,31
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_1,3,32.0,40,31
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_1,4,32.0,40,31
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_1,5,33.0,40,31
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_1,6,33.0,40,31
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_1,7,37.0,40,31
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_1,8,35.0,40,31
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_1,9,31.0,40,31
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_1,10,31.0,40,31
9129110f-bdbd-4ae9-bb9c-9f7dfe1ae19b,provider_2,1,96.0,96,26
