Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
91e74087-341a-4942-ba97-a41013fbc2ed,provider_0,1,90.0,90,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_0,2,58.0,90,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_0,3,48.0,90,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_0,4,39.0,90,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_0,5,40.0,90,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_0,6,22.0,90,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_0,7,43.0,90,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_0,8,35.0,90,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_0,9,34.0,90,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_0,10,30.0,90,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_1,1,40.0,40,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_1,2,35.0,40,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_1,3,30.0,40,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_1,4,28.0,40,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_1,5,28.0,40,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_1,6,28.0,40,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_1,7,26.0,40,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_1,8,25.0,40,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_1,9,30.0,40,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_1,10,28.0,40,22
91e74087-341a-4942-ba97-a41013fbc2ed,provider_2,1,80.0,80,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_2,2,56.0,80,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_2,3,47.0,80,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_2,4,42.0,80,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_2,5,59.0,80,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_2,6,53.0,80,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_2,7,67.0,80,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_2,8,49.0,80,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_2,9,47.0,80,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_2,10,46.0,80,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_3,1,98.0,98,31
91e74087-341a-4942-ba97-a41013fbc2ed,provider_3,2,68.0,98,31
91e74087-341a-4942-ba97-a41013fbc2ed,provider_3,3,51.0,98,31
91e74087-341a-4942-ba97-a41013fbc2ed,provider_3,4,57.0,98,31
91e74087-341a-4942-ba97-a41013fbc2ed,provider_3,5,65.0,98,31
91e74087-341a-4942-ba97-a41013fbc2ed,provider_3,6,55.0,98,31
91e74087-341a-4942-ba97-a41013fbc2ed,provider_3,7,61.0,98,31
91e74087-341a-4942-ba97-a41013fbc2ed,provider_3,8,46.0,98,31
91e74087-341a-4942-ba97-a41013fbc2ed,provider_3,9,41.0,98,31
91e74087-341a-4942-ba97-a41013fbc2ed,provider_3,10,36.0,98,31
91e74087-341a-4942-ba97-a41013fbc2ed,provider_4,1,94.0,94,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_4,2,77.0,94,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_4,3,49.0,94,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_4,4,54.0,94,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_4,5,48.0,94,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_4,6,92.0,94,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_4,7,69.0,94,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_4,8,54.0,94,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_4,9,45.0,94,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_4,10,75.0,94,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_5,1,86.0,86,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_5,2,63.0,86,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_5,3,49.0,86,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_5,4,51.0,86,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_5,5,66.0,86,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_5,6,53.0,86,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_5,7,81.0,86,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_5,8,75.0,86,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_5,9,46.0,86,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_5,10,46.0,86,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_6,1,84.0,84,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_6,2,53.0,84,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_6,3,48.0,84,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_6,4,47.0,84,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_6,5,51.0,84,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_6,6,77.0,84,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_6,7,63.0,84,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_6,8,49.0,84,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_6,9,44.0,84,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_6,10,61.0,84,38
91e74087-341a-4942-ba97-a41013fbc2ed,provider_7,1,87.0,87,32
91e74087-341a-4942-ba97-a41013fbc2ed,provider_7,2,71.0,87,32
91e74087-341a-4942-ba97-a41013fbc2ed,provider_7,3,39.0,87,32
91e74087-341a-4942-ba97-a41013fbc2ed,provider_7,4,40.0,87,32
91e74087-341a-4942-ba97-a41013fbc2ed,provider_7,5,64.0,87,32
91e74087-341a-4942-ba97-a41013fbc2ed,provider_7,6,56.0,87,32
91e74087-341a-4942-ba97-a41013fbc2ed,provider_7,7,51.0,87,32
91e74087-341a-4942-ba97-a41013fbc2ed,provider_7,8,47.0,87,32
91e74087-341a-4942-ba97-a41013fbc2ed,provider_7,9,43.0,87,32
91e74087-341a-4942-ba97-a41013fbc2ed,provider_7,10,39.0,87,32
91e74087-341a-4942-ba97-a41013fbc2ed,provider_8,1,84.0,84,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_8,2,68.0,84,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_8,3,50.0,84,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_8,4,49.0,84,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_8,5,37.0,84,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_8,6,49.0,84,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_8,7,49.0,84,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_8,8,45.0,84,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_8,9,46.0,84,35
91e74087-341a-4942-ba97-a41013fbc2ed,provider_8,10,44.0,84,35
