Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
92379bee-4e06-41bb-b562-39177d5d9250,provider_0,1,83.0,83,23
92379bee-4e06-41bb-b562-39177d5d9250,provider_0,2,53.0,83,23
92379bee-4e06-41bb-b562-39177d5d9250,provider_0,3,45.0,83,23
92379bee-4e06-41bb-b562-39177d5d9250,provider_0,4,40.0,83,23
92379bee-4e06-41bb-b562-39177d5d9250,provider_0,5,41.0,83,23
92379bee-4e06-41bb-b562-39177d5d9250,provider_0,6,38.0,83,23
92379bee-4e06-41bb-b562-39177d5d9250,provider_0,7,37.0,83,23
92379bee-4e06-41bb-b562-39177d5d9250,provider_0,8,37.0,83,23
92379bee-4e06-41bb-b562-39177d5d9250,provider_0,9,35.0,83,23
92379bee-4e06-41bb-b562-39177d5d9250,provider_0,10,34.0,83,23
92379bee-4e06-41bb-b562-39177d5d9250,provider_1,1,40.0,40,32
92379bee-4e06-41bb-b562-39177d5d9250,provider_1,2,34.0,40,32
92379bee-4e06-41bb-b562-39177d5d9250,provider_1,3,37.0,40,32
92379bee-4e06-41bb-b562-39177d5d9250,provider_1,4,39.0,40,32
92379bee-4e06-41bb-b562-39177d5d9250,provider_1,5,33.0,40,32
92379bee-4e06-41bb-b562-39177d5d9250,provider_1,6,37.0,40,32
92379bee-4e06-41bb-b562-39177d5d9250,provider_1,7,39.0,40,32
92379bee-4e06-41bb-b562-39177d5d9250,provider_1,8,32.0,40,32
92379bee-4e06-41bb-b562-39177d5d9250,provider_1,9,35.0,40,32
92379bee-4e06-41bb-b562-39177d5d9250,provider_1,10,35.0,40,32
92379bee-4e06-41bb-b562-39177d5d9250,provider_2,1,90.0,90,35
92379bee-4e06-41bb-b562-39177d5d9250,provider_2,2,64.0,90,35
92379bee-4e06-41bb-b562-39177d5d9250,provider_2,3,45.0,90,35
92379bee-4e06-41bb-b562-39177d5d9250,provider_2,4,67.0,90,35
92379bee-4e06-41bb-b562-39177d5d9250,provider_2,5,54.0,90,35
92379bee-4e06-41bb-b562-39177d5d9250,provider_2,6,45.0,90,35
92379bee-4e06-41bb-b562-39177d5d9250,provider_2,7,46.0,90,35
92379bee-4e06-41bb-b562-39177d5d9250,provider_2,8,48.0,90,35
92379bee-4e06-41bb-b562-39177d5d9250,provider_2,9,47.0,90,35
92379bee-4e06-41bb-b562-39177d5d9250,provider_2,10,47.0,90,35
92379bee-4e06-41bb-b562-39177d5d9250,provider_3,1,84.0,84,28
92379bee-4e06-41bb-b562-39177d5d9250,provider_3,2,53.0,84,28
92379bee-4e06-41bb-b562-39177d5d9250,provider_3,3,44.0,84,28
92379bee-4e06-41bb-b562-39177d5d9250,provider_3,4,45.0,84,28
92379bee-4e06-41bb-b562-39177d5d9250,provider_3,5,48.0,84,28
92379bee-4e06-41bb-b562-39177d5d9250,provider_3,6,45.0,84,28
92379bee-4e06-41bb-b562-39177d5d9250,provider_3,7,52.0,84,28
92379bee-4e06-41bb-b562-39177d5d9250,provider_3,8,40.0,84,28
92379bee-4e06-41bb-b562-39177d5d9250,provider_3,9,36.0,84,28
92379bee-4e06-41bb-b562-39177d5d9250,provider_3,10,37.0,84,28
92379bee-4e06-41bb-b562-39177d5d9250,provider_4,1,89.0,89,27
92379bee-4e06-41bb-b562-39177d5d9250,provider_4,2,57.0,89,27
92379bee-4e06-41bb-b562-39177d5d9250,provider_4,3,49.0,89,27
92379bee-4e06-41bb-b562-39177d5d9250,provider_4,4,41.0,89,27
92379bee-4e06-41bb-b562-39177d5d9250,provider_4,5,42.0,89,27
92379bee-4e06-41bb-b562-39177d5d9250,provider_4,6,39.0,89,27
92379bee-4e06-41bb-b562-39177d5d9250,provider_4,7,45.0,89,27
92379bee-4e06-41bb-b562-39177d5d9250,provider_4,8,41.0,89,27
92379bee-4e06-41bb-b562-39177d5d9250,provider_4,9,39.0,89,27
92379bee-4e06-41bb-b562-39177d5d9250,provider_4,10,38.0,89,27
92379bee-4e06-41bb-b562-39177d5d9250,provider_5,1,89.0,89,36
92379bee-4e06-41bb-b562-39177d5d9250,provider_5,2,56.0,89,36
92379bee-4e06-41bb-b562-39177d5d9250,provider_5,3,52.0,89,36
92379bee-4e06-41bb-b562-39177d5d9250,provider_5,4,47.0,89,36
92379bee-4e06-41bb-b562-39177d5d9250,provider_5,5,49.0,89,36
92379bee-4e06-41bb-b562-39177d5d9250,provider_5,6,51.0,89,36
92379bee-4e06-41bb-b562-39177d5d9250,provider_5,7,49.0,89,36
92379bee-4e06-41bb-b562-39177d5d9250,provider_5,8,52.0,89,36
92379bee-4e06-41bb-b562-39177d5d9250,provider_5,9,49.0,89,36
92379bee-4e06-41bb-b562-39177d5d9250,provider_5,10,47.0,89,36
92379bee-4e06-41bb-b562-39177d5d9250,provider_6,1,96.0,96,29
92379bee-4e06-41bb-b562-39177d5d9250,provider_6,2,58.0,96,29
92379bee-4e06-41bb-b562-39177d5d9250,provider_6,3,48.0,96,29
92379bee-4e06-41bb-b562-39177d5d9250,provider_6,4,79.0,96,29
92379bee-4e06-41bb-b562-39177d5d9250,provider_6,5,47.0,96,29
92379bee-4e06-41bb-b562-39177d5d9250,provider_6,6,56.0,96,29
92379bee-4e06-41bb-b562-39177d5d9250,provider_6,7,43.0,96,29
92379bee-4e06-41bb-b562-39177d5d9250,provider_6,8,36.0,96,29
92379bee-4e06-41bb-b562-39177d5d9250,provider_6,9,36.0,96,29
92379bee-4e06-41bb-b562-39177d5d9250,provider_6,10,55.0,96,29
