Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_0,1,84.0,84,34
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_0,2,53.0,84,34
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_0,3,47.0,84,34
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_0,4,47.0,84,34
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_0,5,45.0,84,34
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_0,6,49.0,84,34
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_0,7,53.0,84,34
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_0,8,47.0,84,34
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_0,9,43.0,84,34
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_0,10,40.0,84,34
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_1,1,40.0,40,33
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_1,2,34.0,40,33
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_1,3,37.0,40,33
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_1,4,39.0,40,33
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_1,5,33.0,40,33
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_1,6,35.0,40,33
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_1,7,36.0,40,33
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_1,8,39.0,40,33
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_1,9,39.0,40,33
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_1,10,33.0,40,33
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_2,1,93.0,93,27
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_2,2,60.0,93,27
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_2,3,49.0,93,27
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_2,4,42.0,93,27
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_2,5,43.0,93,27
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_2,6,54.0,93,27
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_2,7,46.0,93,27
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_2,8,40.0,93,27
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_2,9,40.0,93,27
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_2,10,38.0,93,27
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_3,1,81.0,81,29
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_3,2,66.0,81,29
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_3,3,46.0,81,29
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_3,4,44.0,81,29
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_3,5,42.0,81,29
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_3,6,41.0,81,29
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_3,7,42.0,81,29
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_3,8,61.0,81,29
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_3,9,50.0,81,29
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_3,10,32.0,81,29
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_4,1,81.0,81,31
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_4,2,56.0,81,31
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_4,3,47.0,81,31
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_4,4,45.0,81,31
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_4,5,51.0,81,31
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_4,6,41.0,81,31
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_4,7,41.0,81,31
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_4,8,40.0,81,31
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_4,9,38.0,81,31
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_4,10,38.0,81,31
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_5,1,94.0,94,35
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_5,2,77.0,94,35
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_5,3,43.0,94,35
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_5,4,56.0,94,35
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_5,5,44.0,94,35
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_5,6,42.0,94,35
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_5,7,55.0,94,35
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_5,8,83.0,94,35
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_5,9,74.0,94,35
945d4c7c-41cd-450d-855e-9b8f1a78f88f,provider_5,10,54.0,94,35
