Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_0,1,91.0,91,26
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_0,2,59.0,91,26
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_0,3,50.0,91,26
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_0,4,42.0,91,26
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_0,5,78.0,91,26
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_0,6,47.0,91,26
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_0,7,56.0,91,26
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_0,8,47.0,91,26
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_0,9,36.0,91,26
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_0,10,33.0,91,26
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_1,1,40.0,40,28
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_1,2,34.0,40,28
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_1,3,29.0,40,28
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_1,4,34.0,40,28
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_1,5,35.0,40,28
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_1,6,37.0,40,28
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_1,7,38.0,40,28
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_1,8,28.0,40,28
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_1,9,28.0,40,28
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_1,10,35.0,40,28
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_2,1,97.0,97,29
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_2,2,79.0,97,29
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_2,3,64.0,97,29
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_2,4,43.0,97,29
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_2,5,43.0,97,29
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_2,6,45.0,97,29
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_2,7,44.0,97,29
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_2,8,47.0,97,29
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_2,9,40.0,97,29
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_2,10,36.0,97,29
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_3,1,88.0,88,34
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_3,2,54.0,88,34
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_3,3,49.0,88,34
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_3,4,47.0,88,34
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_3,5,48.0,88,34
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_3,6,43.0,88,34
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_3,7,65.0,88,34
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_3,8,48.0,88,34
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_3,9,44.0,88,34
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_3,10,44.0,88,34
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_4,1,93.0,93,37
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_4,2,76.0,93,37
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_4,3,57.0,93,37
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_4,4,48.0,93,37
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_4,5,75.0,93,37
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_4,6,61.0,93,37
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_4,7,66.0,93,37
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_4,8,46.0,93,37
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_4,9,47.0,93,37
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_4,10,42.0,93,37
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_5,1,95.0,95,23
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_5,2,61.0,95,23
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_5,3,51.0,95,23
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_5,4,43.0,95,23
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_5,5,40.0,95,23
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_5,6,53.0,95,23
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_5,7,44.0,95,23
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_5,8,36.0,95,23
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_5,9,35.0,95,23
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_5,10,36.0,95,23
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_6,1,95.0,95,24
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_6,2,61.0,95,24
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_6,3,45.0,95,24
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_6,4,36.0,95,24
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_6,5,37.0,95,24
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_6,6,37.0,95,24
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_6,7,52.0,95,24
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_6,8,42.0,95,24
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_6,9,38.0,95,24
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_6,10,33.0,95,24
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_7,1,92.0,92,31
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_7,2,58.0,92,31
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_7,3,42.0,92,31
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_7,4,82.0,92,31
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_7,5,57.0,92,31
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_7,6,47.0,92,31
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_7,7,54.0,92,31
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_7,8,42.0,92,31
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_7,9,50.0,92,31
949c025b-0ece-4eee-a1e7-e48dcf9743fa,provider_7,10,42.0,92,31
