Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_0,1,93.0,93,32
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_0,2,76.0,93,32
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_0,3,44.0,93,32
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_0,4,43.0,93,32
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_0,5,44.0,93,32
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_0,6,47.0,93,32
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_0,7,49.0,93,32
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_0,8,41.0,93,32
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_0,9,61.0,93,32
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_0,10,37.0,93,32
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_1,1,40.0,40,38
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_1,2,38.0,40,38
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_1,3,38.0,40,38
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_1,4,39.0,40,38
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_1,5,39.0,40,38
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_1,6,39.0,40,38
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_1,7,38.0,40,38
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_1,8,39.0,40,38
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_1,9,38.0,40,38
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_1,10,39.0,40,38
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_2,1,89.0,89,24
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_2,2,57.0,89,24
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_2,3,47.0,89,24
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_2,4,41.0,89,24
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_2,5,64.0,89,24
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_2,6,47.0,89,24
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_2,7,43.0,89,24
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_2,8,35.0,89,24
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_2,9,35.0,89,24
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_2,10,35.0,89,24
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_3,1,90.0,90,23
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_3,2,57.0,90,23
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_3,3,48.0,90,23
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_3,4,40.0,90,23
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_3,5,41.0,90,23
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_3,6,38.0,90,23
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_3,7,37.0,90,23
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_3,8,37.0,90,23
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_3,9,37.0,90,23
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_3,10,33.0,90,23
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_4,1,84.0,84,33
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_4,2,68.0,84,33
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_4,3,55.0,84,33
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_4,4,46.0,84,33
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_4,5,40.0,84,33
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_4,6,41.0,84,33
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_4,7,41.0,84,33
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_4,8,54.0,84,33
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_4,9,62.0,84,33
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_4,10,53.0,84,33
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_5,1,91.0,91,37
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_5,2,47.0,91,37
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_5,3,54.0,91,37
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_5,4,54.0,91,37
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_5,5,70.0,91,37
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_5,6,63.0,91,37
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_5,7,47.0,91,37
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_5,8,50.0,91,37
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_5,9,47.0,91,37
987edcd3-d3f8-4932-8510-2c39e2ea77f0,provider_5,10,44.0,91,37
