Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_0,1,88.0,88,39
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_0,2,66.0,88,39
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_0,3,58.0,88,39
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_0,4,49.0,88,39
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_0,5,71.0,88,39
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_0,6,60.0,88,39
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_0,7,51.0,88,39
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_0,8,52.0,88,39
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_0,9,49.0,88,39
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_0,10,46.0,88,39
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_1,1,40.0,40,34
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_1,2,38.0,40,34
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_1,3,36.0,40,34
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_1,4,38.0,40,34
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_1,5,38.0,40,34
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_1,6,37.0,40,34
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_1,7,39.0,40,34
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_1,8,39.0,40,34
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_1,9,39.0,40,34
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_1,10,39.0,40,34
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_2,1,85.0,85,24
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_2,2,72.0,85,24
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_2,3,60.0,85,24
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_2,4,45.0,85,24
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_2,5,46.0,85,24
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_2,6,42.0,85,24
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_2,7,42.0,85,24
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_2,8,35.0,85,24
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_2,9,36.0,85,24
99fb61b4-0ccf-4acb-b3c2-4f9eaa7812ad,provider_2,10,35.0,85,24
