Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
9a4df6a2-e705-4880-b9f9-15578043faac,provider_0,1,87.0,87,32
9a4df6a2-e705-4880-b9f9-15578043faac,provider_0,2,71.0,87,32
9a4df6a2-e705-4880-b9f9-15578043faac,provider_0,3,52.0,87,32
9a4df6a2-e705-4880-b9f9-15578043faac,provider_0,4,44.0,87,32
9a4df6a2-e705-4880-b9f9-15578043faac,provider_0,5,48.0,87,32
9a4df6a2-e705-4880-b9f9-15578043faac,provider_0,6,43.0,87,32
9a4df6a2-e705-4880-b9f9-15578043faac,provider_0,7,46.0,87,32
9a4df6a2-e705-4880-b9f9-15578043faac,provider_0,8,37.0,87,32
9a4df6a2-e705-4880-b9f9-15578043faac,provider_0,9,34.0,87,32
9a4df6a2-e705-4880-b9f9-15578043faac,provider_0,10,64.0,87,32
9a4df6a2-e705-4880-b9f9-15578043faac,provider_1,1,40.0,40,33
9a4df6a2-e705-4880-b9f9-15578043faac,provider_1,2,34.0,40,33
9a4df6a2-e705-4880-b9f9-15578043faac,provider_1,3,33.0,40,33
9a4df6a2-e705-4880-b9f9-15578043faac,provider_1,4,36.0,40,33
9a4df6a2-e705-4880-b9f9-15578043faac,provider_1,5,39.0,40,33
9a4df6a2-e705-4880-b9f9-15578043faac,provider_1,6,38.0,40,33
9a4df6a2-e705-4880-b9f9-15578043faac,provider_1,7,37.0,40,33
9a4df6a2-e705-4880-b9f9-15578043faac,provider_1,8,39.0,40,33
9a4df6a2-e705-4880-b9f9-15578043faac,provider_1,9,38.0,40,33
9a4df6a2-e705-4880-b9f9-15578043faac,provider_1,10,36.0,40,33
9a4df6a2-e705-4880-b9f9-15578043faac,provider_2,1,86.0,86,23
9a4df6a2-e705-4880-b9f9-15578043faac,provider_2,2,55.0,86,23
9a4df6a2-e705-4880-b9f9-15578043faac,provider_2,3,46.0,86,23
9a4df6a2-e705-4880-b9f9-15578043faac,provider_2,4,44.0,86,23
9a4df6a2-e705-4880-b9f9-15578043faac,provider_2,5,45.0,86,23
9a4df6a2-e705-4880-b9f9-15578043faac,provider_2,6,41.0,86,23
9a4df6a2-e705-4880-b9f9-15578043faac,provider_2,7,41.0,86,23
9a4df6a2-e705-4880-b9f9-15578043faac,provider_2,8,42.0,86,23
9a4df6a2-e705-4880-b9f9-15578043faac,provider_2,9,31.0,86,23
9a4df6a2-e705-4880-b9f9-15578043faac,provider_2,10,31.0,86,23
9a4df6a2-e705-4880-b9f9-15578043faac,provider_3,1,88.0,88,26
9a4df6a2-e705-4880-b9f9-15578043faac,provider_3,2,63.0,88,26
9a4df6a2-e705-4880-b9f9-15578043faac,provider_3,3,52.0,88,26
9a4df6a2-e705-4880-b9f9-15578043faac,provider_3,4,44.0,88,26
9a4df6a2-e705-4880-b9f9-15578043faac,provider_3,5,43.0,88,26
9a4df6a2-e705-4880-b9f9-15578043faac,provider_3,6,43.0,88,26
9a4df6a2-e705-4880-b9f9-15578043faac,provider_3,7,57.0,88,26
9a4df6a2-e705-4880-b9f9-15578043faac,provider_3,8,48.0,88,26
9a4df6a2-e705-4880-b9f9-15578043faac,provider_3,9,43.0,88,26
9a4df6a2-e705-4880-b9f9-15578043faac,provider_3,10,38.0,88,26
