Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_0,1,98.0,98,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_0,2,63.0,98,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_0,3,54.0,98,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_0,4,48.0,98,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_0,5,29.0,98,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_0,6,46.0,98,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_0,7,46.0,98,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_0,8,31.0,98,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_0,9,33.0,98,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_0,10,36.0,98,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_1,1,40.0,40,30
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_1,2,30.0,40,30
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_1,3,35.0,40,30
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_1,4,36.0,40,30
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_1,5,34.0,40,30
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_1,6,36.0,40,30
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_1,7,35.0,40,30
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_1,8,35.0,40,30
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_1,9,38.0,40,30
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_1,10,32.0,40,30
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_2,1,95.0,95,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_2,2,61.0,95,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_2,3,51.0,95,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_2,4,45.0,95,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_2,5,46.0,95,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_2,6,49.0,95,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_2,7,79.0,95,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_2,8,45.0,95,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_2,9,36.0,95,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_2,10,32.0,95,26
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_3,1,84.0,84,32
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_3,2,68.0,84,32
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_3,3,52.0,84,32
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_3,4,47.0,84,32
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_3,5,48.0,84,32
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_3,6,48.0,84,32
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_3,7,65.0,84,32
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_3,8,55.0,84,32
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_3,9,47.0,84,32
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_3,10,67.0,84,32
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_4,1,81.0,81,20
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_4,2,52.0,81,20
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_4,3,44.0,81,20
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_4,4,40.0,81,20
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_4,5,41.0,81,20
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_4,6,38.0,81,20
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_4,7,39.0,81,20
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_4,8,37.0,81,20
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_4,9,34.0,81,20
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_4,10,31.0,81,20
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_5,1,80.0,80,33
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_5,2,65.0,80,33
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_5,3,53.0,80,33
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_5,4,40.0,80,33
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_5,5,42.0,80,33
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_5,6,42.0,80,33
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_5,7,57.0,80,33
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_5,8,33.0,80,33
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_5,9,38.0,80,33
9b82efb7-795b-4fa1-bb8c-e8f8403f0cda,provider_5,10,74.0,80,33
