Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
9c784eb6-db76-400a-b788-509e8de28c28,provider_0,1,93.0,93,22
9c784eb6-db76-400a-b788-509e8de28c28,provider_0,2,60.0,93,22
9c784eb6-db76-400a-b788-509e8de28c28,provider_0,3,50.0,93,22
9c784eb6-db76-400a-b788-509e8de28c28,provider_0,4,39.0,93,22
9c784eb6-db76-400a-b788-509e8de28c28,provider_0,5,40.0,93,22
9c784eb6-db76-400a-b788-509e8de28c28,provider_0,6,33.0,93,22
9c784eb6-db76-400a-b788-509e8de28c28,provider_0,7,34.0,93,22
9c784eb6-db76-400a-b788-509e8de28c28,provider_0,8,45.0,93,22
9c784eb6-db76-400a-b788-509e8de28c28,provider_0,9,40.0,93,22
9c784eb6-db76-400a-b788-509e8de28c28,provider_0,10,36.0,93,22
9c784eb6-db76-400a-b788-509e8de28c28,provider_1,1,40.0,40,39
9c784eb6-db76-400a-b788-509e8de28c28,provider_1,2,39.0,40,39
9c784eb6-db76-400a-b788-509e8de28c28,provider_1,3,39.0,40,39
9c784eb6-db76-400a-b788-509e8de28c28,provider_1,4,39.0,40,39
9c784eb6-db76-400a-b788-509e8de28c28,provider_1,5,39.0,40,39
9c784eb6-db76-400a-b788-509e8de28c28,provider_1,6,39.0,40,39
9c784eb6-db76-400a-b788-509e8de28c28,provider_1,7,39.0,40,39
9c784eb6-db76-400a-b788-509e8de28c28,provider_1,8,39.0,40,39
9c784eb6-db76-400a-b788-509e8de28c28,provider_1,9,39.0,40,39
9c784eb6-db76-400a-b788-509e8de28c28,provider_1,10,39.0,40,39
9c784eb6-db76-400a-b788-509e8de28c28,provider_2,1,85.0,85,20
9c784eb6-db76-400a-b788-509e8de28c28,provider_2,2,55.0,85,20
9c784eb6-db76-400a-b788-509e8de28c28,provider_2,3,46.0,85,20
9c784eb6-db76-400a-b788-509e8de28c28,provider_2,4,44.0,85,20
9c784eb6-db76-400a-b788-509e8de28c28,provider_2,5,39.0,85,20
9c784eb6-db76-400a-b788-509e8de28c28,provider_2,6,28.0,85,20
9c784eb6-db76-400a-b788-509e8de28c28,provider_2,7,31.0,85,20
9c784eb6-db76-400a-b788-509e8de28c28,provider_2,8,34.0,85,20
9c784eb6-db76-400a-b788-509e8de28c28,provider_2,9,33.0,85,20
9c784eb6-db76-400a-b788-509e8de28c28,provider_2,10,33.0,85,20
9c784eb6-db76-400a-b788-509e8de28c28,provider_3,1,81.0,81,36
9c784eb6-db76-400a-b788-509e8de28c28,provider_3,2,68.0,81,36
9c784eb6-db76-400a-b788-509e8de28c28,provider_3,3,55.0,81,36
9c784eb6-db76-400a-b788-509e8de28c28,provider_3,4,43.0,81,36
9c784eb6-db76-400a-b788-509e8de28c28,provider_3,5,44.0,81,36
9c784eb6-db76-400a-b788-509e8de28c28,provider_3,6,43.0,81,36
9c784eb6-db76-400a-b788-509e8de28c28,provider_3,7,56.0,81,36
9c784eb6-db76-400a-b788-509e8de28c28,provider_3,8,44.0,81,36
9c784eb6-db76-400a-b788-509e8de28c28,provider_3,9,46.0,81,36
9c784eb6-db76-400a-b788-509e8de28c28,provider_3,10,40.0,81,36
9c784eb6-db76-400a-b788-509e8de28c28,provider_4,1,92.0,92,24
9c784eb6-db76-400a-b788-509e8de28c28,provider_4,2,58.0,92,24
9c784eb6-db76-400a-b788-509e8de28c28,provider_4,3,49.0,92,24
9c784eb6-db76-400a-b788-509e8de28c28,provider_4,4,41.0,92,24
9c784eb6-db76-400a-b788-509e8de28c28,provider_4,5,47.0,92,24
9c784eb6-db76-400a-b788-509e8de28c28,provider_4,6,24.0,92,24
9c784eb6-db76-400a-b788-509e8de28c28,provider_4,7,26.0,92,24
9c784eb6-db76-400a-b788-509e8de28c28,provider_4,8,51.0,92,24
9c784eb6-db76-400a-b788-509e8de28c28,provider_4,9,49.0,92,24
9c784eb6-db76-400a-b788-509e8de28c28,provider_4,10,40.0,92,24
