Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
a2b75bea-13ec-4902-890c-c8a868964317,provider_0,1,89.0,89,34
a2b75bea-13ec-4902-890c-c8a868964317,provider_0,2,66.0,89,34
a2b75bea-13ec-4902-890c-c8a868964317,provider_0,3,36.0,89,34
a2b75bea-13ec-4902-890c-c8a868964317,provider_0,4,59.0,89,34
a2b75bea-13ec-4902-890c-c8a868964317,provider_0,5,45.0,89,34
a2b75bea-13ec-4902-890c-c8a868964317,provider_0,6,47.0,89,34
a2b75bea-13ec-4902-890c-c8a868964317,provider_0,7,67.0,89,34
a2b75bea-13ec-4902-890c-c8a868964317,provider_0,8,48.0,89,34
a2b75bea-13ec-4902-890c-c8a868964317,provider_0,9,71.0,89,34
a2b75bea-13ec-4902-890c-c8a868964317,provider_0,10,47.0,89,34
a2b75bea-13ec-4902-890c-c8a868964317,provider_1,1,40.0,40,36
a2b75bea-13ec-4902-890c-c8a868964317,provider_1,2,36.0,40,36
a2b75bea-13ec-4902-890c-c8a868964317,provider_1,3,38.0,40,36
a2b75bea-13ec-4902-890c-c8a868964317,provider_1,4,39.0,40,36
a2b75bea-13ec-4902-890c-c8a868964317,provider_1,5,37.0,40,36
a2b75bea-13ec-4902-890c-c8a868964317,provider_1,6,38.0,40,36
a2b75bea-13ec-4902-890c-c8a868964317,provider_1,7,39.0,40,36
a2b75bea-13ec-4902-890c-c8a868964317,provider_1,8,39.0,40,36
a2b75bea-13ec-4902-890c-c8a868964317,provider_1,9,36.0,40,36
a2b75bea-13ec-4902-890c-c8a868964317,provider_1,10,39.0,40,36
a2b75bea-13ec-4902-890c-c8a868964317,provider_2,1,89.0,89,30
a2b75bea-13ec-4902-890c-c8a868964317,provider_2,2,72.0,89,30
a2b75bea-13ec-4902-890c-c8a868964317,provider_2,3,40.0,89,30
a2b75bea-13ec-4902-890c-c8a868964317,provider_2,4,32.0,89,30
a2b75bea-13ec-4902-890c-c8a868964317,provider_2,5,37.0,89,30
a2b75bea-13ec-4902-890c-c8a868964317,provider_2,6,38.0,89,30
a2b75bea-13ec-4902-890c-c8a868964317,provider_2,7,38.0,89,30
a2b75bea-13ec-4902-890c-c8a868964317,provider_2,8,39.0,89,30
a2b75bea-13ec-4902-890c-c8a868964317,provider_2,9,38.0,89,30
a2b75bea-13ec-4902-890c-c8a868964317,provider_2,10,38.0,89,30
a2b75bea-13ec-4902-890c-c8a868964317,provider_3,1,84.0,84,37
a2b75bea-13ec-4902-890c-c8a868964317,provider_3,2,58.0,84,37
a2b75bea-13ec-4902-890c-c8a868964317,provider_3,3,49.0,84,37
a2b75bea-13ec-4902-890c-c8a868964317,provider_3,4,45.0,84,37
a2b75bea-13ec-4902-890c-c8a868964317,provider_3,5,46.0,84,37
a2b75bea-13ec-4902-890c-c8a868964317,provider_3,6,44.0,84,37
a2b75bea-13ec-4902-890c-c8a868964317,provider_3,7,44.0,84,37
a2b75bea-13ec-4902-890c-c8a868964317,provider_3,8,69.0,84,37
a2b75bea-13ec-4902-890c-c8a868964317,provider_3,9,57.0,84,37
a2b75bea-13ec-4902-890c-c8a868964317,provider_3,10,47.0,84,37
a2b75bea-13ec-4902-890c-c8a868964317,provider_4,1,86.0,86,27
a2b75bea-13ec-4902-890c-c8a868964317,provider_4,2,52.0,86,27
a2b75bea-13ec-4902-890c-c8a868964317,provider_4,3,45.0,86,27
a2b75bea-13ec-4902-890c-c8a868964317,provider_4,4,46.0,86,27
a2b75bea-13ec-4902-890c-c8a868964317,provider_4,5,47.0,86,27
a2b75bea-13ec-4902-890c-c8a868964317,provider_4,6,41.0,86,27
a2b75bea-13ec-4902-890c-c8a868964317,provider_4,7,40.0,86,27
a2b75bea-13ec-4902-890c-c8a868964317,provider_4,8,42.0,86,27
a2b75bea-13ec-4902-890c-c8a868964317,provider_4,9,38.0,86,27
a2b75bea-13ec-4902-890c-c8a868964317,provider_4,10,36.0,86,27
a2b75bea-13ec-4902-890c-c8a868964317,provider_5,1,84.0,84,34
a2b75bea-13ec-4902-890c-c8a868964317,provider_5,2,53.0,84,34
a2b75bea-13ec-4902-890c-c8a868964317,provider_5,3,45.0,84,34
a2b75bea-13ec-4902-890c-c8a868964317,provider_5,4,47.0,84,34
a2b75bea-13ec-4902-890c-c8a868964317,provider_5,5,45.0,84,34
a2b75bea-13ec-4902-890c-c8a868964317,provider_5,6,44.0,84,34
a2b75bea-13ec-4902-890c-c8a868964317,provider_5,7,47.0,84,34
a2b75bea-13ec-4902-890c-c8a868964317,provider_5,8,47.0,84,34
a2b75bea-13ec-4902-890c-c8a868964317,provider_5,9,48.0,84,34
a2b75bea-13ec-4902-890c-c8a868964317,provider_5,10,46.0,84,34
