Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_0,1,96.0,96,27
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_0,2,58.0,96,27
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_0,3,49.0,96,27
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_0,4,28.0,96,27
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_0,5,35.0,96,27
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_0,6,47.0,96,27
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_0,7,58.0,96,27
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_0,8,42.0,96,27
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_0,9,37.0,96,27
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_0,10,32.0,96,27
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_1,1,40.0,40,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_1,2,32.0,40,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_1,3,29.0,40,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_1,4,29.0,40,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_1,5,27.0,40,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_1,6,27.0,40,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_1,7,27.0,40,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_1,8,27.0,40,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_1,9,27.0,40,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_1,10,25.0,40,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_2,1,84.0,84,36
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_2,2,63.0,84,36
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_2,3,40.0,84,36
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_2,4,72.0,84,36
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_2,5,55.0,84,36
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_2,6,48.0,84,36
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_2,7,48.0,84,36
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_2,8,47.0,84,36
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_2,9,42.0,84,36
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_2,10,46.0,84,36
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_3,1,85.0,85,35
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_3,2,59.0,85,35
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_3,3,50.0,85,35
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_3,4,42.0,85,35
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_3,5,61.0,85,35
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_3,6,54.0,85,35
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_3,7,45.0,85,35
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_3,8,44.0,85,35
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_3,9,44.0,85,35
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_3,10,41.0,85,35
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_4,1,87.0,87,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_4,2,56.0,87,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_4,3,48.0,87,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_4,4,37.0,87,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_4,5,38.0,87,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_4,6,36.0,87,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_4,7,37.0,87,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_4,8,31.0,87,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_4,9,46.0,87,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_4,10,40.0,87,20
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_5,1,92.0,92,26
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_5,2,59.0,92,26
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_5,3,49.0,92,26
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_5,4,40.0,92,26
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_5,5,41.0,92,26
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_5,6,40.0,92,26
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_5,7,55.0,92,26
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_5,8,36.0,92,26
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_5,9,37.0,92,26
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_5,10,33.0,92,26
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_6,1,85.0,85,27
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_6,2,54.0,85,27
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_6,3,47.0,85,27
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_6,4,39.0,85,27
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_6,5,40.0,85,27
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_6,6,40.0,85,27
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_6,7,59.0,85,27
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_6,8,48.0,85,27
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_6,9,39.0,85,27
a59580ec-00c3-4214-b4cb-1a40b0d80727,provider_6,10,35.0,85,27
