Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_0,1,86.0,86,28
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_0,2,70.0,86,28
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_0,3,49.0,86,28
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_0,4,41.0,86,28
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_0,5,42.0,86,28
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_0,6,66.0,86,28
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_0,7,48.0,86,28
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_0,8,43.0,86,28
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_0,9,39.0,86,28
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_0,10,39.0,86,28
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_1,1,40.0,40,29
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_1,2,38.0,40,29
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_1,3,32.0,40,29
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_1,4,32.0,40,29
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_1,5,32.0,40,29
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_1,6,37.0,40,29
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_1,7,38.0,40,29
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_1,8,39.0,40,29
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_1,9,33.0,40,29
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_1,10,30.0,40,29
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_2,1,80.0,80,39
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_2,2,51.0,80,39
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_2,3,42.0,80,39
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_2,4,75.0,80,39
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_2,5,53.0,80,39
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_2,6,42.0,80,39
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_2,7,48.0,80,39
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_2,8,78.0,80,39
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_2,9,56.0,80,39
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_2,10,47.0,80,39
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_3,1,86.0,86,35
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_3,2,52.0,86,35
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_3,3,36.0,86,35
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_3,4,45.0,86,35
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_3,5,49.0,86,35
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_3,6,51.0,86,35
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_3,7,49.0,86,35
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_3,8,50.0,86,35
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_3,9,47.0,86,35
a6351af4-6a42-4218-ae2c-962db4d2a150,provider_3,10,83.0,86,35
