Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_0,1,95.0,95,26
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_0,2,61.0,95,26
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_0,3,51.0,95,26
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_0,4,45.0,95,26
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_0,5,33.0,95,26
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_0,6,63.0,95,26
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_0,7,42.0,95,26
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_0,8,75.0,95,26
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_0,9,55.0,95,26
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_0,10,36.0,95,26
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_1,1,40.0,40,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_1,2,33.0,40,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_1,3,30.0,40,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_1,4,28.0,40,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_1,5,28.0,40,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_1,6,28.0,40,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_1,7,28.0,40,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_1,8,26.0,40,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_1,9,25.0,40,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_1,10,24.0,40,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_2,1,91.0,91,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_2,2,58.0,91,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_2,3,49.0,91,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_2,4,35.0,91,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_2,5,50.0,91,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_2,6,46.0,91,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_2,7,38.0,91,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_2,8,31.0,91,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_2,9,27.0,91,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_2,10,27.0,91,21
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_3,1,96.0,96,30
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_3,2,58.0,96,30
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_3,3,50.0,96,30
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_3,4,63.0,96,30
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_3,5,53.0,96,30
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_3,6,51.0,96,30
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_3,7,82.0,96,30
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_3,8,54.0,96,30
a6ca6838-1573-4182-bced-ffc9821a0c8c,provider_3,9,43.0,96,30
