Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_0,1,96.0,96,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_0,2,67.0,96,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_0,3,50.0,96,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_0,4,95.0,96,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_0,5,52.0,96,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_0,6,44.0,96,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_0,7,45.0,96,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_0,8,40.0,96,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_0,9,45.0,96,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_0,10,41.0,96,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_1,1,40.0,40,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_1,2,34.0,40,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_1,3,31.0,40,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_1,4,31.0,40,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_1,5,31.0,40,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_1,6,31.0,40,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_1,7,31.0,40,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_1,8,37.0,40,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_1,9,29.0,40,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_1,10,33.0,40,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_2,1,90.0,90,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_2,2,73.0,90,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_2,3,51.0,90,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_2,4,46.0,90,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_2,5,87.0,90,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_2,6,53.0,90,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_2,7,41.0,90,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_2,8,42.0,90,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_2,9,70.0,90,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_2,10,39.0,90,32
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_3,1,93.0,93,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_3,2,59.0,93,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_3,3,49.0,93,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_3,4,51.0,93,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_3,5,44.0,93,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_3,6,41.0,93,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_3,7,42.0,93,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_3,8,35.0,93,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_3,9,41.0,93,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_3,10,38.0,93,29
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_4,1,97.0,97,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_4,2,62.0,97,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_4,3,48.0,97,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_4,4,49.0,97,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_4,5,34.0,97,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_4,6,36.0,97,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_4,7,58.0,97,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_4,8,41.0,97,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_4,9,33.0,97,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_4,10,28.0,97,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_5,1,87.0,87,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_5,2,56.0,87,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_5,3,47.0,87,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_5,4,45.0,87,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_5,5,37.0,87,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_5,6,39.0,87,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_5,7,44.0,87,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_5,8,36.0,87,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_5,9,33.0,87,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_5,10,31.0,87,21
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_6,1,81.0,81,38
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_6,2,68.0,81,38
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_6,3,52.0,81,38
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_6,4,44.0,81,38
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_6,5,46.0,81,38
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_6,6,80.0,81,38
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_6,7,52.0,81,38
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_6,8,41.0,81,38
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_6,9,75.0,81,38
a72a5146-665d-4b6b-b0b0-26f1d825bd1d,provider_6,10,57.0,81,38
