Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_0,1,82.0,82,31
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_0,2,69.0,82,31
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_0,3,48.0,82,31
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_0,4,59.0,82,31
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_0,5,45.0,82,31
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_0,6,43.0,82,31
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_0,7,46.0,82,31
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_0,8,46.0,82,31
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_0,9,41.0,82,31
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_0,10,39.0,82,31
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_1,1,40.0,40,29
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_1,2,34.0,40,29
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_1,3,29.0,40,29
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_1,4,37.0,40,29
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_1,5,30.0,40,29
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_1,6,30.0,40,29
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_1,7,30.0,40,29
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_1,8,30.0,40,29
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_1,9,29.0,40,29
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_1,10,29.0,40,29
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_2,1,93.0,93,37
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_2,2,56.0,93,37
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_2,3,47.0,93,37
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_2,4,49.0,93,37
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_2,5,47.0,93,37
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_2,6,90.0,93,37
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_2,7,73.0,93,37
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_2,8,45.0,93,37
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_2,9,55.0,93,37
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_2,10,52.0,93,37
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_3,1,85.0,85,23
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_3,2,55.0,85,23
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_3,3,46.0,85,23
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_3,4,40.0,85,23
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_3,5,41.0,85,23
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_3,6,41.0,85,23
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_3,7,66.0,85,23
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_3,8,48.0,85,23
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_3,9,37.0,85,23
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_3,10,35.0,85,23
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_4,1,84.0,84,22
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_4,2,54.0,84,22
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_4,3,44.0,84,22
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_4,4,41.0,84,22
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_4,5,42.0,84,22
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_4,6,39.0,84,22
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_4,7,45.0,84,22
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_4,8,41.0,84,22
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_4,9,37.0,84,22
a755d6c8-6c80-445a-a189-79d0eb13213d,provider_4,10,35.0,84,22
