Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_0,1,98.0,98,33
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_0,2,63.0,98,33
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_0,3,52.0,98,33
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_0,4,89.0,98,33
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_0,5,62.0,98,33
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_0,6,52.0,98,33
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_0,7,54.0,98,33
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_0,8,36.0,98,33
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_0,9,42.0,98,33
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_0,10,38.0,98,33
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_1,1,40.0,40,36
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_1,2,38.0,40,36
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_1,3,36.0,40,36
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_1,4,39.0,40,36
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_1,5,39.0,40,36
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_1,6,37.0,40,36
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_1,7,38.0,40,36
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_1,8,38.0,40,36
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_1,9,36.0,40,36
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_1,10,36.0,40,36
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_2,1,87.0,87,28
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_2,2,71.0,87,28
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_2,3,53.0,87,28
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_2,4,42.0,87,28
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_2,5,44.0,87,28
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_2,6,46.0,87,28
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_2,7,48.0,87,28
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_2,8,44.0,87,28
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_2,9,40.0,87,28
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_2,10,40.0,87,28
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_3,1,91.0,91,27
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_3,2,54.0,91,27
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_3,3,46.0,91,27
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_3,4,47.0,91,27
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_3,5,48.0,91,27
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_3,6,44.0,91,27
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_3,7,55.0,91,27
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_3,8,39.0,91,27
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_3,9,38.0,91,27
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_3,10,34.0,91,27
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_4,1,91.0,91,38
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_4,2,74.0,91,38
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_4,3,41.0,91,38
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_4,4,73.0,91,38
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_4,5,51.0,91,38
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_4,6,64.0,91,38
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_4,7,39.0,91,38
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_4,8,75.0,91,38
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_4,9,46.0,91,38
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_4,10,54.0,91,38
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_5,1,93.0,93,20
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_5,2,60.0,93,20
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_5,3,50.0,93,20
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_5,4,42.0,93,20
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_5,5,41.0,93,20
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_5,6,29.0,93,20
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_5,7,33.0,93,20
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_5,8,34.0,93,20
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_5,9,32.0,93,20
a7c17fbe-fc2c-4d69-89fd-9fb998c410f3,provider_5,10,31.0,93,20
