Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_0,1,92.0,92,27
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_0,2,59.0,92,27
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_0,3,50.0,92,27
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_0,4,43.0,92,27
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_0,5,44.0,92,27
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_0,6,69.0,92,27
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_0,7,42.0,92,27
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_0,8,43.0,92,27
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_0,9,35.0,92,27
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_0,10,35.0,92,27
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_1,1,40.0,40,20
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_1,2,32.0,40,20
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_1,3,30.0,40,20
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_1,4,30.0,40,20
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_1,5,30.0,40,20
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_1,6,30.0,40,20
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_1,7,29.0,40,20
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_1,8,29.0,40,20
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_1,9,27.0,40,20
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_1,10,27.0,40,20
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_2,1,96.0,96,34
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_2,2,78.0,96,34
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_2,3,63.0,96,34
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_2,4,49.0,96,34
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_2,5,43.0,96,34
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_2,6,45.0,96,34
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_2,7,62.0,96,34
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_2,8,42.0,96,34
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_2,9,62.0,96,34
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_2,10,35.0,96,34
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_3,1,96.0,96,22
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_3,2,62.0,96,22
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_3,3,51.0,96,22
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_3,4,41.0,96,22
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_3,5,42.0,96,22
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_3,6,31.0,96,22
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_3,7,33.0,96,22
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_3,8,38.0,96,22
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_3,9,37.0,96,22
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_3,10,31.0,96,22
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_4,1,89.0,89,36
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_4,2,66.0,89,36
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_4,3,55.0,89,36
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_4,4,46.0,89,36
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_4,5,48.0,89,36
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_4,6,47.0,89,36
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_4,7,46.0,89,36
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_4,8,50.0,89,36
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_4,9,46.0,89,36
a8083f95-9386-483b-b8b1-4942b2852fbf,provider_4,10,45.0,89,36
