Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_0,1,87.0,87,30
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_0,2,64.0,87,30
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_0,3,54.0,87,30
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_0,4,46.0,87,30
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_0,5,47.0,87,30
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_0,6,45.0,87,30
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_0,7,47.0,87,30
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_0,8,42.0,87,30
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_0,9,42.0,87,30
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_0,10,40.0,87,30
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_1,1,40.0,40,20
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_1,2,32.0,40,20
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_1,3,28.0,40,20
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_1,4,28.0,40,20
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_1,5,27.0,40,20
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_1,6,27.0,40,20
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_1,7,25.0,40,20
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_1,8,25.0,40,20
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_1,9,24.0,40,20
aa99f655-a122-4eff-9ac2-fe2457f308b7,provider_1,10,24.0,40,20
