Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_0,1,84.0,84,24
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_0,2,54.0,84,24
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_0,3,45.0,84,24
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_0,4,41.0,84,24
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_0,5,42.0,84,24
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_0,6,39.0,84,24
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_0,7,42.0,84,24
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_0,8,39.0,84,24
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_0,9,35.0,84,24
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_0,10,34.0,84,24
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_1,1,40.0,40,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_1,2,33.0,40,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_1,3,28.0,40,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_1,4,27.0,40,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_1,5,27.0,40,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_1,6,27.0,40,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_1,7,27.0,40,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_1,8,25.0,40,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_1,9,25.0,40,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_1,10,23.0,40,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_2,1,88.0,88,37
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_2,2,72.0,88,37
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_2,3,51.0,88,37
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_2,4,49.0,88,37
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_2,5,43.0,88,37
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_2,6,82.0,88,37
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_2,7,61.0,88,37
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_2,8,45.0,88,37
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_2,9,45.0,88,37
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_2,10,40.0,88,37
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_3,1,80.0,80,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_3,2,65.0,80,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_3,3,48.0,80,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_3,4,44.0,80,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_3,5,38.0,80,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_3,6,36.0,80,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_3,7,39.0,80,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_3,8,35.0,80,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_3,9,31.0,80,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_3,10,30.0,80,23
aa9b3f73-38d4-486d-bbc4-33bfb8124279,provider_4,1,90.0,90,24
