Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_0,1,92.0,92,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_0,2,59.0,92,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_0,3,48.0,92,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_0,4,39.0,92,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_0,5,40.0,92,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_0,6,54.0,92,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_0,7,50.0,92,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_0,8,41.0,92,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_0,9,38.0,92,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_0,10,34.0,92,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_1,1,40.0,40,27
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_1,2,38.0,40,27
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_1,3,31.0,40,27
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_1,4,31.0,40,27
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_1,5,30.0,40,27
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_1,6,33.0,40,27
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_1,7,33.0,40,27
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_1,8,32.0,40,27
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_1,9,31.0,40,27
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_1,10,28.0,40,27
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_2,1,86.0,86,32
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_2,2,55.0,86,32
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_2,3,46.0,86,32
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_2,4,44.0,86,32
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_2,5,45.0,86,32
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_2,6,77.0,86,32
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_2,7,52.0,86,32
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_2,8,55.0,86,32
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_2,9,74.0,86,32
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_2,10,54.0,86,32
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_3,1,80.0,80,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_3,2,57.0,80,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_3,3,47.0,80,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_3,4,45.0,80,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_3,5,35.0,80,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_3,6,35.0,80,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_3,7,34.0,80,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_3,8,35.0,80,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_3,9,41.0,80,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_3,10,38.0,80,24
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_4,1,98.0,98,22
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_4,2,62.0,98,22
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_4,3,51.0,98,22
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_4,4,33.0,98,22
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_4,5,34.0,98,22
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_4,6,34.0,98,22
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_4,7,37.0,98,22
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_4,8,25.0,98,22
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_4,9,42.0,98,22
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_4,10,38.0,98,22
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_5,1,81.0,81,35
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_5,2,60.0,81,35
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_5,3,44.0,81,35
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_5,4,46.0,81,35
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_5,5,44.0,81,35
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_5,6,44.0,81,35
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_5,7,44.0,81,35
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_5,8,47.0,81,35
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_5,9,46.0,81,35
ac789ef7-756d-4b12-a30a-96de620bf7d6,provider_5,10,44.0,81,35
