Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_0,1,80.0,80,30
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_0,2,65.0,80,30
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_0,3,50.0,80,30
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_0,4,43.0,80,30
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_0,5,44.0,80,30
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_0,6,44.0,80,30
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_0,7,45.0,80,30
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_0,8,42.0,80,30
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_0,9,36.0,80,30
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_0,10,36.0,80,30
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_1,1,40.0,40,36
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_1,2,38.0,40,36
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_1,3,36.0,40,36
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_1,4,36.0,40,36
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_1,5,37.0,40,36
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_1,6,39.0,40,36
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_1,7,38.0,40,36
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_1,8,39.0,40,36
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_1,9,39.0,40,36
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_1,10,37.0,40,36
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_2,1,88.0,88,34
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_2,2,61.0,88,34
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_2,3,51.0,88,34
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_2,4,42.0,88,34
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_2,5,45.0,88,34
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_2,6,47.0,88,34
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_2,7,49.0,88,34
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_2,8,49.0,88,34
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_2,9,48.0,88,34
ad4658ee-62b0-43ae-b712-a3aeb3ecea02,provider_2,10,43.0,88,34
