Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
ae71b528-d763-436f-b2ba-6275050b07c2,provider_0,1,95.0,95,21
ae71b528-d763-436f-b2ba-6275050b07c2,provider_0,2,61.0,95,21
ae71b528-d763-436f-b2ba-6275050b07c2,provider_0,3,50.0,95,21
ae71b528-d763-436f-b2ba-6275050b07c2,provider_0,4,36.0,95,21
ae71b528-d763-436f-b2ba-6275050b07c2,provider_0,5,32.0,95,21
ae71b528-d763-436f-b2ba-6275050b07c2,provider_0,6,32.0,95,21
ae71b528-d763-436f-b2ba-6275050b07c2,provider_0,7,32.0,95,21
ae71b528-d763-436f-b2ba-6275050b07c2,provider_0,8,44.0,95,21
ae71b528-d763-436f-b2ba-6275050b07c2,provider_0,9,36.0,95,21
ae71b528-d763-436f-b2ba-6275050b07c2,provider_0,10,32.0,95,21
ae71b528-d763-436f-b2ba-6275050b07c2,provider_1,1,40.0,40,24
ae71b528-d763-436f-b2ba-6275050b07c2,provider_1,2,33.0,40,24
ae71b528-d763-436f-b2ba-6275050b07c2,provider_1,3,28.0,40,24
ae71b528-d763-436f-b2ba-6275050b07c2,provider_1,4,28.0,40,24
ae71b528-d763-436f-b2ba-6275050b07c2,provider_1,5,38.0,40,24
ae71b528-d763-436f-b2ba-6275050b07c2,provider_1,6,26.0,40,24
ae71b528-d763-436f-b2ba-6275050b07c2,provider_1,7,24.0,40,24
ae71b528-d763-436f-b2ba-6275050b07c2,provider_1,8,24.0,40,24
ae71b528-d763-436f-b2ba-6275050b07c2,provider_1,9,24.0,40,24
ae71b528-d763-436f-b2ba-6275050b07c2,provider_1,10,39.0,40,24
ae71b528-d763-436f-b2ba-6275050b07c2,provider_2,1,94.0,94,31
ae71b528-d763-436f-b2ba-6275050b07c2,provider_2,2,60.0,94,31
ae71b528-d763-436f-b2ba-6275050b07c2,provider_2,3,50.0,94,31
ae71b528-d763-436f-b2ba-6275050b07c2,provider_2,4,53.0,94,31
ae71b528-d763-436f-b2ba-6275050b07c2,provider_2,5,47.0,94,31
ae71b528-d763-436f-b2ba-6275050b07c2,provider_2,6,54.0,94,31
ae71b528-d763-436f-b2ba-6275050b07c2,provider_2,7,44.0,94,31
ae71b528-d763-436f-b2ba-6275050b07c2,provider_2,8,46.0,94,31
ae71b528-d763-436f-b2ba-6275050b07c2,provider_2,9,33.0,94,31
ae71b528-d763-436f-b2ba-6275050b07c2,provider_2,10,35.0,94,31
ae71b528-d763-436f-b2ba-6275050b07c2,provider_3,1,80.0,80,32
ae71b528-d763-436f-b2ba-6275050b07c2,provider_3,2,65.0,80,32
ae71b528-d763-436f-b2ba-6275050b07c2,provider_3,3,53.0,80,32
ae71b528-d763-436f-b2ba-6275050b07c2,provider_3,4,41.0,80,32
ae71b528-d763-436f-b2ba-6275050b07c2,provider_3,5,43.0,80,32
ae71b528-d763-436f-b2ba-6275050b07c2,provider_3,6,42.0,80,32
ae71b528-d763-436f-b2ba-6275050b07c2,provider_3,7,43.0,80,32
ae71b528-d763-436f-b2ba-6275050b07c2,provider_3,8,49.0,80,32
ae71b528-d763-436f-b2ba-6275050b07c2,provider_3,9,44.0,80,32
ae71b528-d763-436f-b2ba-6275050b07c2,provider_3,10,39.0,80,32
ae71b528-d763-436f-b2ba-6275050b07c2,provider_4,1,95.0,95,39
ae71b528-d763-436f-b2ba-6275050b07c2,provider_4,2,77.0,95,39
ae71b528-d763-436f-b2ba-6275050b07c2,provider_4,3,68.0,95,39
ae71b528-d763-436f-b2ba-6275050b07c2,provider_4,4,52.0,95,39
ae71b528-d763-436f-b2ba-6275050b07c2,provider_4,5,57.0,95,39
ae71b528-d763-436f-b2ba-6275050b07c2,provider_4,6,51.0,95,39
ae71b528-d763-436f-b2ba-6275050b07c2,provider_4,7,60.0,95,39
ae71b528-d763-436f-b2ba-6275050b07c2,provider_4,8,47.0,95,39
ae71b528-d763-436f-b2ba-6275050b07c2,provider_4,9,89.0,95,39
ae71b528-d763-436f-b2ba-6275050b07c2,provider_4,10,65.0,95,39
ae71b528-d763-436f-b2ba-6275050b07c2,provider_5,1,86.0,86,37
ae71b528-d763-436f-b2ba-6275050b07c2,provider_5,2,57.0,86,37
ae71b528-d763-436f-b2ba-6275050b07c2,provider_5,3,50.0,86,37
ae71b528-d763-436f-b2ba-6275050b07c2,provider_5,4,49.0,86,37
ae71b528-d763-436f-b2ba-6275050b07c2,provider_5,5,50.0,86,37
ae71b528-d763-436f-b2ba-6275050b07c2,provider_5,6,50.0,86,37
ae71b528-d763-436f-b2ba-6275050b07c2,provider_5,7,52.0,86,37
ae71b528-d763-436f-b2ba-6275050b07c2,provider_5,8,53.0,86,37
ae71b528-d763-436f-b2ba-6275050b07c2,provider_5,9,51.0,86,37
ae71b528-d763-436f-b2ba-6275050b07c2,provider_5,10,49.0,86,37
ae71b528-d763-436f-b2ba-6275050b07c2,provider_6,1,94.0,94,23
ae71b528-d763-436f-b2ba-6275050b07c2,provider_6,2,61.0,94,23
ae71b528-d763-436f-b2ba-6275050b07c2,provider_6,3,50.0,94,23
ae71b528-d763-436f-b2ba-6275050b07c2,provider_6,4,29.0,94,23
ae71b528-d763-436f-b2ba-6275050b07c2,provider_6,5,37.0,94,23
ae71b528-d763-436f-b2ba-6275050b07c2,provider_6,6,41.0,94,23
ae71b528-d763-436f-b2ba-6275050b07c2,provider_6,7,44.0,94,23
ae71b528-d763-436f-b2ba-6275050b07c2,provider_6,8,36.0,94,23
ae71b528-d763-436f-b2ba-6275050b07c2,provider_6,9,33.0,94,23
ae71b528-d763-436f-b2ba-6275050b07c2,provider_6,10,32.0,94,23
ae71b528-d763-436f-b2ba-6275050b07c2,provider_7,1,89.0,89,27
ae71b528-d763-436f-b2ba-6275050b07c2,provider_7,2,57.0,89,27
ae71b528-d763-436f-b2ba-6275050b07c2,provider_7,3,47.0,89,27
ae71b528-d763-436f-b2ba-6275050b07c2,provider_7,4,35.0,89,27
ae71b528-d763-436f-b2ba-6275050b07c2,provider_7,5,40.0,89,27
ae71b528-d763-436f-b2ba-6275050b07c2,provider_7,6,43.0,89,27
ae71b528-d763-436f-b2ba-6275050b07c2,provider_7,7,50.0,89,27
ae71b528-d763-436f-b2ba-6275050b07c2,provider_7,8,37.0,89,27
ae71b528-d763-436f-b2ba-6275050b07c2,provider_7,9,42.0,89,27
ae71b528-d763-436f-b2ba-6275050b07c2,provider_7,10,38.0,89,27
