Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_0,1,84.0,84,34
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_0,2,68.0,84,34
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_0,3,51.0,84,34
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_0,4,46.0,84,34
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_0,5,53.0,84,34
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_0,6,50.0,84,34
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_0,7,46.0,84,34
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_0,8,43.0,84,34
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_0,9,44.0,84,34
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_0,10,45.0,84,34
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_1,1,40.0,40,26
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_1,2,34.0,40,26
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_1,3,36.0,40,26
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_1,4,27.0,40,26
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_1,5,27.0,40,26
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_1,6,31.0,40,26
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_1,7,30.0,40,26
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_1,8,30.0,40,26
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_1,9,28.0,40,26
aecaa4ae-87fc-4fd0-9278-94af582775e3,provider_1,10,26.0,40,26
