Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
afcdccba-c797-4aac-aa30-07b808f939b5,provider_0,1,89.0,89,27
afcdccba-c797-4aac-aa30-07b808f939b5,provider_0,2,57.0,89,27
afcdccba-c797-4aac-aa30-07b808f939b5,provider_0,3,47.0,89,27
afcdccba-c797-4aac-aa30-07b808f939b5,provider_0,4,43.0,89,27
afcdccba-c797-4aac-aa30-07b808f939b5,provider_0,5,42.0,89,27
afcdccba-c797-4aac-aa30-07b808f939b5,provider_0,6,77.0,89,27
afcdccba-c797-4aac-aa30-07b808f939b5,provider_0,7,49.0,89,27
afcdccba-c797-4aac-aa30-07b808f939b5,provider_0,8,47.0,89,27
afcdccba-c797-4aac-aa30-07b808f939b5,provider_0,9,40.0,89,27
afcdccba-c797-4aac-aa30-07b808f939b5,provider_0,10,36.0,89,27
afcdccba-c797-4aac-aa30-07b808f939b5,provider_1,1,40.0,40,22
afcdccba-c797-4aac-aa30-07b808f939b5,provider_1,2,35.0,40,22
afcdccba-c797-4aac-aa30-07b808f939b5,provider_1,3,30.0,40,22
afcdccba-c797-4aac-aa30-07b808f939b5,provider_1,4,29.0,40,22
afcdccba-c797-4aac-aa30-07b808f939b5,provider_1,5,29.0,40,22
afcdccba-c797-4aac-aa30-07b808f939b5,provider_1,6,29.0,40,22
afcdccba-c797-4aac-aa30-07b808f939b5,provider_1,7,29.0,40,22
afcdccba-c797-4aac-aa30-07b808f939b5,provider_1,8,27.0,40,22
afcdccba-c797-4aac-aa30-07b808f939b5,provider_1,9,27.0,40,22
afcdccba-c797-4aac-aa30-07b808f939b5,provider_1,10,24.0,40,22
afcdccba-c797-4aac-aa30-07b808f939b5,provider_2,1,87.0,87,26
afcdccba-c797-4aac-aa30-07b808f939b5,provider_2,2,36.0,87,26
afcdccba-c797-4aac-aa30-07b808f939b5,provider_2,3,41.0,87,26
afcdccba-c797-4aac-aa30-07b808f939b5,provider_2,4,43.0,87,26
afcdccba-c797-4aac-aa30-07b808f939b5,provider_2,5,41.0,87,26
afcdccba-c797-4aac-aa30-07b808f939b5,provider_2,6,38.0,87,26
afcdccba-c797-4aac-aa30-07b808f939b5,provider_2,7,38.0,87,26
afcdccba-c797-4aac-aa30-07b808f939b5,provider_2,8,44.0,87,26
afcdccba-c797-4aac-aa30-07b808f939b5,provider_2,9,40.0,87,26
afcdccba-c797-4aac-aa30-07b808f939b5,provider_2,10,35.0,87,26
afcdccba-c797-4aac-aa30-07b808f939b5,provider_3,1,95.0,95,25
afcdccba-c797-4aac-aa30-07b808f939b5,provider_3,2,61.0,95,25
afcdccba-c797-4aac-aa30-07b808f939b5,provider_3,3,51.0,95,25
afcdccba-c797-4aac-aa30-07b808f939b5,provider_3,4,30.0,95,25
afcdccba-c797-4aac-aa30-07b808f939b5,provider_3,5,34.0,95,25
afcdccba-c797-4aac-aa30-07b808f939b5,provider_3,6,37.0,95,25
afcdccba-c797-4aac-aa30-07b808f939b5,provider_3,7,40.0,95,25
afcdccba-c797-4aac-aa30-07b808f939b5,provider_3,8,42.0,95,25
afcdccba-c797-4aac-aa30-07b808f939b5,provider_3,9,32.0,95,25
afcdccba-c797-4aac-aa30-07b808f939b5,provider_3,10,31.0,95,25
afcdccba-c797-4aac-aa30-07b808f939b5,provider_4,1,92.0,92,39
afcdccba-c797-4aac-aa30-07b808f939b5,provider_4,2,75.0,92,39
afcdccba-c797-4aac-aa30-07b808f939b5,provider_4,3,48.0,92,39
afcdccba-c797-4aac-aa30-07b808f939b5,provider_4,4,87.0,92,39
afcdccba-c797-4aac-aa30-07b808f939b5,provider_4,5,71.0,92,39
afcdccba-c797-4aac-aa30-07b808f939b5,provider_4,6,57.0,92,39
afcdccba-c797-4aac-aa30-07b808f939b5,provider_4,7,57.0,92,39
afcdccba-c797-4aac-aa30-07b808f939b5,provider_4,8,51.0,92,39
afcdccba-c797-4aac-aa30-07b808f939b5,provider_4,9,49.0,92,39
afcdccba-c797-4aac-aa30-07b808f939b5,provider_4,10,50.0,92,39
afcdccba-c797-4aac-aa30-07b808f939b5,provider_5,1,94.0,94,38
afcdccba-c797-4aac-aa30-07b808f939b5,provider_5,2,60.0,94,38
afcdccba-c797-4aac-aa30-07b808f939b5,provider_5,3,51.0,94,38
afcdccba-c797-4aac-aa30-07b808f939b5,provider_5,4,53.0,94,38
afcdccba-c797-4aac-aa30-07b808f939b5,provider_5,5,51.0,94,38
afcdccba-c797-4aac-aa30-07b808f939b5,provider_5,6,88.0,94,38
afcdccba-c797-4aac-aa30-07b808f939b5,provider_5,7,72.0,94,38
afcdccba-c797-4aac-aa30-07b808f939b5,provider_5,8,41.0,94,38
afcdccba-c797-4aac-aa30-07b808f939b5,provider_5,9,60.0,94,38
afcdccba-c797-4aac-aa30-07b808f939b5,provider_5,10,54.0,94,38
