Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
aff34e20-243a-499e-8d74-199b11f7840e,provider_0,1,88.0,88,24
aff34e20-243a-499e-8d74-199b11f7840e,provider_0,2,56.0,88,24
aff34e20-243a-499e-8d74-199b11f7840e,provider_0,3,47.0,88,24
aff34e20-243a-499e-8d74-199b11f7840e,provider_0,4,44.0,88,24
aff34e20-243a-499e-8d74-199b11f7840e,provider_0,5,45.0,88,24
aff34e20-243a-499e-8d74-199b11f7840e,provider_0,6,32.0,88,24
aff34e20-243a-499e-8d74-199b11f7840e,provider_0,7,34.0,88,24
aff34e20-243a-499e-8d74-199b11f7840e,provider_0,8,35.0,88,24
aff34e20-243a-499e-8d74-199b11f7840e,provider_0,9,37.0,88,24
aff34e20-243a-499e-8d74-199b11f7840e,provider_0,10,34.0,88,24
aff34e20-243a-499e-8d74-199b11f7840e,provider_1,1,40.0,40,36
aff34e20-243a-499e-8d74-199b11f7840e,provider_1,2,36.0,40,36
aff34e20-243a-499e-8d74-199b11f7840e,provider_1,3,39.0,40,36
aff34e20-243a-499e-8d74-199b11f7840e,provider_1,4,37.0,40,36
aff34e20-243a-499e-8d74-199b11f7840e,provider_1,5,39.0,40,36
aff34e20-243a-499e-8d74-199b11f7840e,provider_1,6,39.0,40,36
aff34e20-243a-499e-8d74-199b11f7840e,provider_1,7,37.0,40,36
aff34e20-243a-499e-8d74-199b11f7840e,provider_1,8,37.0,40,36
aff34e20-243a-499e-8d74-199b11f7840e,provider_1,9,38.0,40,36
aff34e20-243a-499e-8d74-199b11f7840e,provider_1,10,39.0,40,36
aff34e20-243a-499e-8d74-199b11f7840e,provider_2,1,93.0,93,21
aff34e20-243a-499e-8d74-199b11f7840e,provider_2,2,60.0,93,21
aff34e20-243a-499e-8d74-199b11f7840e,provider_2,3,50.0,93,21
aff34e20-243a-499e-8d74-199b11f7840e,provider_2,4,39.0,93,21
aff34e20-243a-499e-8d74-199b11f7840e,provider_2,5,40.0,93,21
aff34e20-243a-499e-8d74-199b11f7840e,provider_2,6,39.0,93,21
aff34e20-243a-499e-8d74-199b11f7840e,provider_2,7,63.0,93,21
aff34e20-243a-499e-8d74-199b11f7840e,provider_2,8,36.0,93,21
aff34e20-243a-499e-8d74-199b11f7840e,provider_2,9,29.0,93,21
aff34e20-243a-499e-8d74-199b11f7840e,provider_2,10,29.0,93,21
aff34e20-243a-499e-8d74-199b11f7840e,provider_3,1,85.0,85,27
aff34e20-243a-499e-8d74-199b11f7840e,provider_3,2,61.0,85,27
aff34e20-243a-499e-8d74-199b11f7840e,provider_3,3,53.0,85,27
aff34e20-243a-499e-8d74-199b11f7840e,provider_3,4,41.0,85,27
aff34e20-243a-499e-8d74-199b11f7840e,provider_3,5,43.0,85,27
aff34e20-243a-499e-8d74-199b11f7840e,provider_3,6,42.0,85,27
aff34e20-243a-499e-8d74-199b11f7840e,provider_3,7,48.0,85,27
aff34e20-243a-499e-8d74-199b11f7840e,provider_3,8,33.0,85,27
aff34e20-243a-499e-8d74-199b11f7840e,provider_3,9,33.0,85,27
aff34e20-243a-499e-8d74-199b11f7840e,provider_3,10,32.0,85,27
aff34e20-243a-499e-8d74-199b11f7840e,provider_4,1,85.0,85,37
aff34e20-243a-499e-8d74-199b11f7840e,provider_4,2,59.0,85,37
aff34e20-243a-499e-8d74-199b11f7840e,provider_4,3,49.0,85,37
aff34e20-243a-499e-8d74-199b11f7840e,provider_4,4,48.0,85,37
aff34e20-243a-499e-8d74-199b11f7840e,provider_4,5,64.0,85,37
aff34e20-243a-499e-8d74-199b11f7840e,provider_4,6,44.0,85,37
aff34e20-243a-499e-8d74-199b11f7840e,provider_4,7,58.0,85,37
aff34e20-243a-499e-8d74-199b11f7840e,provider_4,8,44.0,85,37
aff34e20-243a-499e-8d74-199b11f7840e,provider_4,9,82.0,85,37
aff34e20-243a-499e-8d74-199b11f7840e,provider_4,10,47.0,85,37
aff34e20-243a-499e-8d74-199b11f7840e,provider_5,1,84.0,84,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_5,2,51.0,84,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_5,3,47.0,84,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_5,4,44.0,84,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_5,5,39.0,84,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_5,6,35.0,84,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_5,7,34.0,84,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_5,8,39.0,84,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_5,9,37.0,84,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_5,10,35.0,84,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_6,1,92.0,92,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_6,2,58.0,92,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_6,3,49.0,92,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_6,4,42.0,92,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_6,5,29.0,92,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_6,6,30.0,92,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_6,7,30.0,92,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_6,8,30.0,92,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_6,9,31.0,92,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_6,10,30.0,92,22
aff34e20-243a-499e-8d74-199b11f7840e,provider_7,1,89.0,89,29
aff34e20-243a-499e-8d74-199b11f7840e,provider_7,2,54.0,89,29
aff34e20-243a-499e-8d74-199b11f7840e,provider_7,3,45.0,89,29
aff34e20-243a-499e-8d74-199b11f7840e,provider_7,4,43.0,89,29
aff34e20-243a-499e-8d74-199b11f7840e,provider_7,5,42.0,89,29
aff34e20-243a-499e-8d74-199b11f7840e,provider_7,6,45.0,89,29
aff34e20-243a-499e-8d74-199b11f7840e,provider_7,7,49.0,89,29
aff34e20-243a-499e-8d74-199b11f7840e,provider_7,8,45.0,89,29
aff34e20-243a-499e-8d74-199b11f7840e,provider_7,9,41.0,89,29
aff34e20-243a-499e-8d74-199b11f7840e,provider_7,10,40.0,89,29
aff34e20-243a-499e-8d74-199b11f7840e,provider_8,1,84.0,84,33
