Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_0,1,85.0,85,25
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_0,2,55.0,85,25
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_0,3,47.0,85,25
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_0,4,40.0,85,25
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_0,5,41.0,85,25
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_0,6,42.0,85,25
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_0,7,48.0,85,25
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_0,8,40.0,85,25
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_0,9,36.0,85,25
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_0,10,33.0,85,25
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_1,1,40.0,40,26
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_1,2,34.0,40,26
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_1,3,29.0,40,26
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_1,4,38.0,40,26
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_1,5,36.0,40,26
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_1,6,30.0,40,26
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_1,7,30.0,40,26
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_1,8,29.0,40,26
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_1,9,27.0,40,26
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_1,10,28.0,40,26
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_2,1,90.0,90,35
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_2,2,62.0,90,35
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_2,3,52.0,90,35
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_2,4,46.0,90,35
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_2,5,48.0,90,35
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_2,6,47.0,90,35
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_2,7,64.0,90,35
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_2,8,46.0,90,35
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_2,9,42.0,90,35
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_2,10,42.0,90,35
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_3,1,87.0,87,31
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_3,2,55.0,87,31
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_3,3,50.0,87,31
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_3,4,43.0,87,31
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_3,5,67.0,87,31
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_3,6,48.0,87,31
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_3,7,48.0,87,31
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_3,8,43.0,87,31
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_3,9,42.0,87,31
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_3,10,42.0,87,31
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_4,1,89.0,89,32
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_4,2,72.0,89,32
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_4,3,40.0,89,32
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_4,4,46.0,89,32
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_4,5,47.0,89,32
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_4,6,44.0,89,32
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_4,7,44.0,89,32
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_4,8,80.0,89,32
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_4,9,56.0,89,32
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_4,10,49.0,89,32
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_5,1,85.0,85,33
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_5,2,69.0,85,33
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_5,3,48.0,85,33
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_5,4,43.0,85,33
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_5,5,44.0,85,33
b0065d10-7516-4a0e-922b-f2e03bf258a4,provider_5,6,47.0,85,33
