Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_0,1,98.0,98,29
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_0,2,62.0,98,29
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_0,3,52.0,98,29
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_0,4,39.0,98,29
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_0,5,40.0,98,29
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_0,6,40.0,98,29
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_0,7,40.0,98,29
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_0,8,77.0,98,29
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_0,9,44.0,98,29
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_0,10,40.0,98,29
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_1,1,40.0,40,24
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_1,2,33.0,40,24
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_1,3,28.0,40,24
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_1,4,28.0,40,24
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_1,5,26.0,40,24
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_1,6,26.0,40,24
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_1,7,26.0,40,24
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_1,8,25.0,40,24
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_1,9,25.0,40,24
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_1,10,24.0,40,24
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_2,1,92.0,92,25
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_2,2,55.0,92,25
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_2,3,46.0,92,25
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_2,4,47.0,92,25
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_2,5,47.0,92,25
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_2,6,44.0,92,25
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_2,7,43.0,92,25
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_2,8,39.0,92,25
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_2,9,36.0,92,25
b0ec0e64-eb07-47f5-adec-9a1ac7b27fed,provider_2,10,36.0,92,25
