Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
b2955741-604c-4192-8f06-3c8fc099e809,provider_0,1,99.0,99,25
b2955741-604c-4192-8f06-3c8fc099e809,provider_0,2,63.0,99,25
b2955741-604c-4192-8f06-3c8fc099e809,provider_0,3,44.0,99,25
b2955741-604c-4192-8f06-3c8fc099e809,provider_0,4,30.0,99,25
b2955741-604c-4192-8f06-3c8fc099e809,provider_0,5,51.0,99,25
b2955741-604c-4192-8f06-3c8fc099e809,provider_0,6,41.0,99,25
b2955741-604c-4192-8f06-3c8fc099e809,provider_0,7,44.0,99,25
b2955741-604c-4192-8f06-3c8fc099e809,provider_0,8,36.0,99,25
b2955741-604c-4192-8f06-3c8fc099e809,provider_0,9,34.0,99,25
b2955741-604c-4192-8f06-3c8fc099e809,provider_0,10,31.0,99,25
b2955741-604c-4192-8f06-3c8fc099e809,provider_1,1,40.0,40,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_1,2,38.0,40,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_1,3,37.0,40,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_1,4,38.0,40,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_1,5,39.0,40,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_1,6,37.0,40,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_1,7,39.0,40,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_1,8,39.0,40,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_1,9,37.0,40,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_1,10,37.0,40,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_2,1,96.0,96,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_2,2,78.0,96,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_2,3,54.0,96,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_2,4,49.0,96,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_2,5,50.0,96,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_2,6,60.0,96,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_2,7,46.0,96,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_2,8,37.0,96,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_2,9,64.0,96,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_2,10,56.0,96,36
b2955741-604c-4192-8f06-3c8fc099e809,provider_3,1,89.0,89,20
b2955741-604c-4192-8f06-3c8fc099e809,provider_3,2,56.0,89,20
b2955741-604c-4192-8f06-3c8fc099e809,provider_3,3,46.0,89,20
b2955741-604c-4192-8f06-3c8fc099e809,provider_3,4,21.0,89,20
b2955741-604c-4192-8f06-3c8fc099e809,provider_3,5,21.0,89,20
b2955741-604c-4192-8f06-3c8fc099e809,provider_3,6,26.0,89,20
b2955741-604c-4192-8f06-3c8fc099e809,provider_3,7,29.0,89,20
b2955741-604c-4192-8f06-3c8fc099e809,provider_3,8,28.0,89,20
b2955741-604c-4192-8f06-3c8fc099e809,provider_3,9,29.0,89,20
b2955741-604c-4192-8f06-3c8fc099e809,provider_3,10,29.0,89,20
b2955741-604c-4192-8f06-3c8fc099e809,provider_4,1,94.0,94,28
b2955741-604c-4192-8f06-3c8fc099e809,provider_4,2,60.0,94,28
b2955741-604c-4192-8f06-3c8fc099e809,provider_4,3,50.0,94,28
b2955741-604c-4192-8f06-3c8fc099e809,provider_4,4,56.0,94,28
b2955741-604c-4192-8f06-3c8fc099e809,provider_4,5,90.0,94,28
b2955741-604c-4192-8f06-3c8fc099e809,provider_4,6,54.0,94,28
b2955741-604c-4192-8f06-3c8fc099e809,provider_4,7,48.0,94,28
b2955741-604c-4192-8f06-3c8fc099e809,provider_4,8,44.0,94,28
b2955741-604c-4192-8f06-3c8fc099e809,provider_4,9,67.0,94,28
b2955741-604c-4192-8f06-3c8fc099e809,provider_4,10,48.0,94,28
b2955741-604c-4192-8f06-3c8fc099e809,provider_5,1,87.0,87,32
b2955741-604c-4192-8f06-3c8fc099e809,provider_5,2,71.0,87,32
b2955741-604c-4192-8f06-3c8fc099e809,provider_5,3,51.0,87,32
b2955741-604c-4192-8f06-3c8fc099e809,provider_5,4,44.0,87,32
b2955741-604c-4192-8f06-3c8fc099e809,provider_5,5,47.0,87,32
b2955741-604c-4192-8f06-3c8fc099e809,provider_5,6,46.0,87,32
b2955741-604c-4192-8f06-3c8fc099e809,provider_5,7,85.0,87,32
b2955741-604c-4192-8f06-3c8fc099e809,provider_5,8,67.0,87,32
b2955741-604c-4192-8f06-3c8fc099e809,provider_5,9,46.0,87,32
b2955741-604c-4192-8f06-3c8fc099e809,provider_5,10,42.0,87,32
b2955741-604c-4192-8f06-3c8fc099e809,provider_6,1,91.0,91,23
b2955741-604c-4192-8f06-3c8fc099e809,provider_6,2,59.0,91,23
b2955741-604c-4192-8f06-3c8fc099e809,provider_6,3,41.0,91,23
b2955741-604c-4192-8f06-3c8fc099e809,provider_6,4,66.0,91,23
b2955741-604c-4192-8f06-3c8fc099e809,provider_6,5,46.0,91,23
b2955741-604c-4192-8f06-3c8fc099e809,provider_6,6,34.0,91,23
b2955741-604c-4192-8f06-3c8fc099e809,provider_6,7,37.0,91,23
b2955741-604c-4192-8f06-3c8fc099e809,provider_6,8,55.0,91,23
b2955741-604c-4192-8f06-3c8fc099e809,provider_6,9,36.0,91,23
b2955741-604c-4192-8f06-3c8fc099e809,provider_6,10,33.0,91,23
