Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_0,1,85.0,85,27
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_0,2,55.0,85,27
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_0,3,47.0,85,27
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_0,4,45.0,85,27
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_0,5,46.0,85,27
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_0,6,46.0,85,27
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_0,7,46.0,85,27
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_0,8,42.0,85,27
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_0,9,39.0,85,27
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_0,10,37.0,85,27
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_1,1,40.0,40,28
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_1,2,34.0,40,28
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_1,3,29.0,40,28
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_1,4,29.0,40,28
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_1,5,31.0,40,28
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_1,6,36.0,40,28
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_1,7,37.0,40,28
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_1,8,30.0,40,28
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_1,9,39.0,40,28
b2adefd1-0a44-4641-bf9f-5e59efc0bc54,provider_1,10,30.0,40,28
