Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_0,1,88.0,88,34
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_0,2,72.0,88,34
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_0,3,54.0,88,34
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_0,4,45.0,88,34
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_0,5,47.0,88,34
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_0,6,50.0,88,34
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_0,7,49.0,88,34
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_0,8,47.0,88,34
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_0,9,45.0,88,34
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_0,10,43.0,88,34
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_1,1,40.0,40,25
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_1,2,35.0,40,25
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_1,3,37.0,40,25
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_1,4,32.0,40,25
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_1,5,32.0,40,25
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_1,6,27.0,40,25
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_1,7,27.0,40,25
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_1,8,28.0,40,25
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_1,9,26.0,40,25
b2be9ae9-fbc8-40bd-8b5a-7c0c6bc9eeb0,provider_1,10,25.0,40,25
