Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
b40489d5-1957-4094-8d55-b750a51f4600,provider_0,1,96.0,96,27
b40489d5-1957-4094-8d55-b750a51f4600,provider_0,2,61.0,96,27
b40489d5-1957-4094-8d55-b750a51f4600,provider_0,3,50.0,96,27
b40489d5-1957-4094-8d55-b750a51f4600,provider_0,4,41.0,96,27
b40489d5-1957-4094-8d55-b750a51f4600,provider_0,5,42.0,96,27
b40489d5-1957-4094-8d55-b750a51f4600,provider_0,6,71.0,96,27
b40489d5-1957-4094-8d55-b750a51f4600,provider_0,7,44.0,96,27
b40489d5-1957-4094-8d55-b750a51f4600,provider_0,8,36.0,96,27
b40489d5-1957-4094-8d55-b750a51f4600,provider_0,9,41.0,96,27
b40489d5-1957-4094-8d55-b750a51f4600,provider_0,10,38.0,96,27
b40489d5-1957-4094-8d55-b750a51f4600,provider_1,1,40.0,40,22
b40489d5-1957-4094-8d55-b750a51f4600,provider_1,2,35.0,40,22
b40489d5-1957-4094-8d55-b750a51f4600,provider_1,3,24.0,40,22
b40489d5-1957-4094-8d55-b750a51f4600,provider_1,4,23.0,40,22
b40489d5-1957-4094-8d55-b750a51f4600,provider_1,5,22.0,40,22
b40489d5-1957-4094-8d55-b750a51f4600,provider_1,6,22.0,40,22
b40489d5-1957-4094-8d55-b750a51f4600,provider_1,7,22.0,40,22
b40489d5-1957-4094-8d55-b750a51f4600,provider_1,8,22.0,40,22
b40489d5-1957-4094-8d55-b750a51f4600,provider_1,9,22.0,40,22
b40489d5-1957-4094-8d55-b750a51f4600,provider_1,10,22.0,40,22
b40489d5-1957-4094-8d55-b750a51f4600,provider_2,1,82.0,82,23
b40489d5-1957-4094-8d55-b750a51f4600,provider_2,2,67.0,82,23
b40489d5-1957-4094-8d55-b750a51f4600,provider_2,3,45.0,82,23
b40489d5-1957-4094-8d55-b750a51f4600,provider_2,4,43.0,82,23
b40489d5-1957-4094-8d55-b750a51f4600,provider_2,5,41.0,82,23
b40489d5-1957-4094-8d55-b750a51f4600,provider_2,6,41.0,82,23
b40489d5-1957-4094-8d55-b750a51f4600,provider_2,7,40.0,82,23
b40489d5-1957-4094-8d55-b750a51f4600,provider_2,8,37.0,82,23
b40489d5-1957-4094-8d55-b750a51f4600,provider_2,9,34.0,82,23
b40489d5-1957-4094-8d55-b750a51f4600,provider_2,10,32.0,82,23
b40489d5-1957-4094-8d55-b750a51f4600,provider_3,1,93.0,93,30
b40489d5-1957-4094-8d55-b750a51f4600,provider_3,2,55.0,93,30
b40489d5-1957-4094-8d55-b750a51f4600,provider_3,3,47.0,93,30
b40489d5-1957-4094-8d55-b750a51f4600,provider_3,4,52.0,93,30
b40489d5-1957-4094-8d55-b750a51f4600,provider_3,5,50.0,93,30
b40489d5-1957-4094-8d55-b750a51f4600,provider_3,6,44.0,93,30
b40489d5-1957-4094-8d55-b750a51f4600,provider_3,7,47.0,93,30
b40489d5-1957-4094-8d55-b750a51f4600,provider_3,8,38.0,93,30
b40489d5-1957-4094-8d55-b750a51f4600,provider_3,9,69.0,93,30
b40489d5-1957-4094-8d55-b750a51f4600,provider_3,10,42.0,93,30
b40489d5-1957-4094-8d55-b750a51f4600,provider_4,1,84.0,84,26
b40489d5-1957-4094-8d55-b750a51f4600,provider_4,2,58.0,84,26
