Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_0,1,97.0,97,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_0,2,62.0,97,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_0,3,52.0,97,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_0,4,46.0,97,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_0,5,51.0,97,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_0,6,88.0,97,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_0,7,56.0,97,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_0,8,41.0,97,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_0,9,63.0,97,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_0,10,52.0,97,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_1,1,40.0,40,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_1,2,37.0,40,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_1,3,31.0,40,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_1,4,33.0,40,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_1,5,33.0,40,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_1,6,35.0,40,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_1,7,31.0,40,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_1,8,37.0,40,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_1,9,39.0,40,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_1,10,33.0,40,29
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_2,1,86.0,86,27
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_2,2,36.0,86,27
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_2,3,37.0,86,27
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_2,4,35.0,86,27
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_2,5,54.0,86,27
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_2,6,46.0,86,27
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_2,7,51.0,86,27
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_2,8,40.0,86,27
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_2,9,44.0,86,27
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_2,10,41.0,86,27
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_3,1,95.0,95,23
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_3,2,57.0,95,23
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_3,3,47.0,95,23
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_3,4,33.0,95,23
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_3,5,34.0,95,23
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_3,6,32.0,95,23
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_3,7,31.0,95,23
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_3,8,40.0,95,23
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_3,9,32.0,95,23
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_3,10,31.0,95,23
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_4,1,87.0,87,23
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_4,2,56.0,87,23
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_4,3,47.0,87,23
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_4,4,39.0,87,23
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_4,5,40.0,87,23
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_4,6,38.0,87,23
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_4,7,45.0,87,23
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_4,8,41.0,87,23
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_4,9,34.0,87,23
b41c1f02-0947-4e40-a3fc-44ccc3b85e41,provider_4,10,30.0,87,23
