Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_0,1,83.0,83,37
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_0,2,58.0,83,37
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_0,3,41.0,83,37
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_0,4,42.0,83,37
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_0,5,68.0,83,37
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_0,6,61.0,83,37
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_0,7,50.0,83,37
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_0,8,45.0,83,37
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_0,9,42.0,83,37
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_0,10,81.0,83,37
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_1,1,40.0,40,25
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_1,2,35.0,40,25
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_1,3,30.0,40,25
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_1,4,30.0,40,25
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_1,5,30.0,40,25
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_1,6,30.0,40,25
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_1,7,30.0,40,25
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_1,8,28.0,40,25
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_1,9,25.0,40,25
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_1,10,28.0,40,25
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_2,1,87.0,87,20
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_2,2,56.0,87,20
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_2,3,46.0,87,20
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_2,4,33.0,87,20
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_2,5,34.0,87,20
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_2,6,33.0,87,20
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_2,7,33.0,87,20
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_2,8,38.0,87,20
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_2,9,35.0,87,20
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_2,10,32.0,87,20
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_3,1,84.0,84,32
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_3,2,68.0,84,32
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_3,3,51.0,84,32
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_3,4,46.0,84,32
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_3,5,46.0,84,32
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_3,6,48.0,84,32
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_3,7,48.0,84,32
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_3,8,44.0,84,32
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_3,9,47.0,84,32
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_3,10,44.0,84,32
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_4,1,96.0,96,30
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_4,2,67.0,96,30
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_4,3,56.0,96,30
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_4,4,47.0,96,30
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_4,5,54.0,96,30
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_4,6,52.0,96,30
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_4,7,44.0,96,30
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_4,8,43.0,96,30
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_4,9,39.0,96,30
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_4,10,36.0,96,30
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_5,1,80.0,80,33
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_5,2,48.0,80,33
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_5,3,44.0,80,33
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_5,4,42.0,80,33
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_5,5,44.0,80,33
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_5,6,41.0,80,33
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_5,7,47.0,80,33
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_5,8,44.0,80,33
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_5,9,43.0,80,33
b42e2768-4994-4723-a60d-0d8e5f61140b,provider_5,10,41.0,80,33
