Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_0,1,84.0,84,21
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_0,2,54.0,84,21
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_0,3,44.0,84,21
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_0,4,39.0,84,21
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_0,5,37.0,84,21
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_0,6,36.0,84,21
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_0,7,39.0,84,21
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_0,8,45.0,84,21
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_0,9,41.0,84,21
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_0,10,38.0,84,21
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_1,1,40.0,40,32
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_1,2,34.0,40,32
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_1,3,35.0,40,32
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_1,4,32.0,40,32
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_1,5,33.0,40,32
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_1,6,34.0,40,32
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_1,7,37.0,40,32
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_1,8,32.0,40,32
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_1,9,34.0,40,32
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_1,10,39.0,40,32
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_2,1,93.0,93,22
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_2,2,60.0,93,22
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_2,3,28.0,93,22
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_2,4,29.0,93,22
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_2,5,30.0,93,22
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_2,6,33.0,93,22
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_2,7,53.0,93,22
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_2,8,39.0,93,22
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_2,9,35.0,93,22
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_2,10,35.0,93,22
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_3,1,93.0,93,29
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_3,2,59.0,93,29
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_3,3,50.0,93,29
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_3,4,42.0,93,29
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_3,5,55.0,93,29
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_3,6,43.0,93,29
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_3,7,42.0,93,29
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_3,8,47.0,93,29
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_3,9,43.0,93,29
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_3,10,40.0,93,29
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_4,1,90.0,90,37
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_4,2,57.0,90,37
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_4,3,47.0,90,37
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_4,4,39.0,90,37
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_4,5,42.0,90,37
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_4,6,80.0,90,37
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_4,7,51.0,90,37
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_4,8,47.0,90,37
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_4,9,44.0,90,37
b4686d0e-e63b-483c-aa1b-11088c04288d,provider_4,10,41.0,90,37
