Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_0,1,93.0,93,29
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_0,2,59.0,93,29
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_0,3,49.0,93,29
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_0,4,50.0,93,29
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_0,5,48.0,93,29
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_0,6,45.0,93,29
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_0,7,59.0,93,29
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_0,8,48.0,93,29
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_0,9,44.0,93,29
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_0,10,42.0,93,29
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_1,1,40.0,40,36
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_1,2,39.0,40,36
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_1,3,39.0,40,36
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_1,4,37.0,40,36
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_1,5,38.0,40,36
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_1,6,39.0,40,36
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_1,7,39.0,40,36
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_1,8,36.0,40,36
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_1,9,38.0,40,36
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_1,10,39.0,40,36
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_2,1,85.0,85,21
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_2,2,25.0,85,21
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_2,3,26.0,85,21
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_2,4,27.0,85,21
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_2,5,26.0,85,21
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_2,6,25.0,85,21
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_2,7,25.0,85,21
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_2,8,28.0,85,21
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_2,9,30.0,85,21
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_2,10,31.0,85,21
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_3,1,89.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_3,2,56.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_3,3,52.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_3,4,46.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_3,5,47.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_3,6,44.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_3,7,47.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_3,8,45.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_3,9,41.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_3,10,37.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_4,1,89.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_4,2,53.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_4,3,47.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_4,4,41.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_4,5,39.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_4,6,41.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_4,7,52.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_4,8,30.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_4,9,44.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_4,10,40.0,89,28
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_5,1,88.0,88,38
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_5,2,61.0,88,38
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_5,3,51.0,88,38
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_5,4,51.0,88,38
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_5,5,39.0,88,38
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_5,6,62.0,88,38
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_5,7,50.0,88,38
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_5,8,51.0,88,38
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_5,9,50.0,88,38
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_5,10,44.0,88,38
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_6,1,80.0,80,29
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_6,2,65.0,80,29
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_6,3,55.0,80,29
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_6,4,46.0,80,29
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_6,5,46.0,80,29
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_6,6,41.0,80,29
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_6,7,47.0,80,29
b5d5f4d8-a103-481b-8f84-29d3734ac01c,provider_6,8,40.0,80,29
