Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_0,1,84.0,84,27
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_0,2,58.0,84,27
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_0,3,49.0,84,27
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_0,4,47.0,84,27
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_0,5,45.0,84,27
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_0,6,42.0,84,27
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_0,7,42.0,84,27
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_0,8,35.0,84,27
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_0,9,34.0,84,27
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_0,10,32.0,84,27
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_1,1,40.0,40,37
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_1,2,38.0,40,37
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_1,3,39.0,40,37
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_1,4,37.0,40,37
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_1,5,38.0,40,37
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_1,6,38.0,40,37
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_1,7,39.0,40,37
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_1,8,39.0,40,37
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_1,9,37.0,40,37
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_1,10,39.0,40,37
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_2,1,99.0,99,23
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_2,2,64.0,99,23
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_2,3,54.0,99,23
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_2,4,48.0,99,23
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_2,5,29.0,99,23
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_2,6,33.0,99,23
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_2,7,51.0,99,23
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_2,8,41.0,99,23
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_2,9,33.0,99,23
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_2,10,33.0,99,23
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_3,1,92.0,92,29
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_3,2,55.0,92,29
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_3,3,47.0,92,29
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_3,4,47.0,92,29
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_3,5,48.0,92,29
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_3,6,43.0,92,29
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_3,7,42.0,92,29
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_3,8,43.0,92,29
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_3,9,64.0,92,29
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_3,10,55.0,92,29
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_4,1,99.0,99,20
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_4,2,63.0,99,20
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_4,3,52.0,99,20
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_4,4,42.0,99,20
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_4,5,43.0,99,20
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_4,6,48.0,99,20
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_4,7,40.0,99,20
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_4,8,33.0,99,20
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_4,9,33.0,99,20
b6723ceb-5567-44bd-81e6-56a122ce7a58,provider_4,10,29.0,99,20
