Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
b88791f0-6c92-4626-af36-531341509ae4,provider_0,1,82.0,82,34
b88791f0-6c92-4626-af36-531341509ae4,provider_0,2,60.0,82,34
b88791f0-6c92-4626-af36-531341509ae4,provider_0,3,51.0,82,34
b88791f0-6c92-4626-af36-531341509ae4,provider_0,4,40.0,82,34
b88791f0-6c92-4626-af36-531341509ae4,provider_0,5,76.0,82,34
b88791f0-6c92-4626-af36-531341509ae4,provider_0,6,50.0,82,34
b88791f0-6c92-4626-af36-531341509ae4,provider_0,7,49.0,82,34
b88791f0-6c92-4626-af36-531341509ae4,provider_0,8,50.0,82,34
b88791f0-6c92-4626-af36-531341509ae4,provider_0,9,43.0,82,34
b88791f0-6c92-4626-af36-531341509ae4,provider_0,10,44.0,82,34
b88791f0-6c92-4626-af36-531341509ae4,provider_1,1,40.0,40,37
b88791f0-6c92-4626-af36-531341509ae4,provider_1,2,38.0,40,37
b88791f0-6c92-4626-af36-531341509ae4,provider_1,3,39.0,40,37
b88791f0-6c92-4626-af36-531341509ae4,provider_1,4,37.0,40,37
b88791f0-6c92-4626-af36-531341509ae4,provider_1,5,39.0,40,37
b88791f0-6c92-4626-af36-531341509ae4,provider_1,6,37.0,40,37
b88791f0-6c92-4626-af36-531341509ae4,provider_1,7,39.0,40,37
b88791f0-6c92-4626-af36-531341509ae4,provider_1,8,39.0,40,37
b88791f0-6c92-4626-af36-531341509ae4,provider_1,9,39.0,40,37
b88791f0-6c92-4626-af36-531341509ae4,provider_1,10,39.0,40,37
b88791f0-6c92-4626-af36-531341509ae4,provider_2,1,81.0,81,38
b88791f0-6c92-4626-af36-531341509ae4,provider_2,2,56.0,81,38
b88791f0-6c92-4626-af36-531341509ae4,provider_2,3,48.0,81,38
b88791f0-6c92-4626-af36-531341509ae4,provider_2,4,43.0,81,38
b88791f0-6c92-4626-af36-531341509ae4,provider_2,5,45.0,81,38
b88791f0-6c92-4626-af36-531341509ae4,provider_2,6,49.0,81,38
b88791f0-6c92-4626-af36-531341509ae4,provider_2,7,44.0,81,38
b88791f0-6c92-4626-af36-531341509ae4,provider_2,8,48.0,81,38
b88791f0-6c92-4626-af36-531341509ae4,provider_2,9,44.0,81,38
b88791f0-6c92-4626-af36-531341509ae4,provider_2,10,42.0,81,38
b88791f0-6c92-4626-af36-531341509ae4,provider_3,1,83.0,83,39
b88791f0-6c92-4626-af36-531341509ae4,provider_3,2,62.0,83,39
b88791f0-6c92-4626-af36-531341509ae4,provider_3,3,47.0,83,39
b88791f0-6c92-4626-af36-531341509ae4,provider_3,4,78.0,83,39
b88791f0-6c92-4626-af36-531341509ae4,provider_3,5,54.0,83,39
b88791f0-6c92-4626-af36-531341509ae4,provider_3,6,43.0,83,39
b88791f0-6c92-4626-af36-531341509ae4,provider_3,7,77.0,83,39
b88791f0-6c92-4626-af36-531341509ae4,provider_3,8,56.0,83,39
b88791f0-6c92-4626-af36-531341509ae4,provider_3,9,43.0,83,39
b88791f0-6c92-4626-af36-531341509ae4,provider_3,10,54.0,83,39
b88791f0-6c92-4626-af36-531341509ae4,provider_4,1,81.0,81,30
b88791f0-6c92-4626-af36-531341509ae4,provider_4,2,56.0,81,30
b88791f0-6c92-4626-af36-531341509ae4,provider_4,3,39.0,81,30
b88791f0-6c92-4626-af36-531341509ae4,provider_4,4,43.0,81,30
b88791f0-6c92-4626-af36-531341509ae4,provider_4,5,44.0,81,30
b88791f0-6c92-4626-af36-531341509ae4,provider_4,6,44.0,81,30
b88791f0-6c92-4626-af36-531341509ae4,provider_4,7,43.0,81,30
b88791f0-6c92-4626-af36-531341509ae4,provider_4,8,42.0,81,30
b88791f0-6c92-4626-af36-531341509ae4,provider_4,9,41.0,81,30
b88791f0-6c92-4626-af36-531341509ae4,provider_4,10,37.0,81,30
b88791f0-6c92-4626-af36-531341509ae4,provider_5,1,85.0,85,36
b88791f0-6c92-4626-af36-531341509ae4,provider_5,2,69.0,85,36
b88791f0-6c92-4626-af36-531341509ae4,provider_5,3,57.0,85,36
b88791f0-6c92-4626-af36-531341509ae4,provider_5,4,47.0,85,36
b88791f0-6c92-4626-af36-531341509ae4,provider_5,5,48.0,85,36
b88791f0-6c92-4626-af36-531341509ae4,provider_5,6,49.0,85,36
b88791f0-6c92-4626-af36-531341509ae4,provider_5,7,50.0,85,36
b88791f0-6c92-4626-af36-531341509ae4,provider_5,8,42.0,85,36
b88791f0-6c92-4626-af36-531341509ae4,provider_5,9,51.0,85,36
b88791f0-6c92-4626-af36-531341509ae4,provider_5,10,43.0,85,36
b88791f0-6c92-4626-af36-531341509ae4,provider_6,1,91.0,91,30
b88791f0-6c92-4626-af36-531341509ae4,provider_6,2,59.0,91,30
b88791f0-6c92-4626-af36-531341509ae4,provider_6,3,49.0,91,30
b88791f0-6c92-4626-af36-531341509ae4,provider_6,4,42.0,91,30
b88791f0-6c92-4626-af36-531341509ae4,provider_6,5,43.0,91,30
b88791f0-6c92-4626-af36-531341509ae4,provider_6,6,42.0,91,30
b88791f0-6c92-4626-af36-531341509ae4,provider_6,7,52.0,91,30
b88791f0-6c92-4626-af36-531341509ae4,provider_6,8,47.0,91,30
b88791f0-6c92-4626-af36-531341509ae4,provider_6,9,42.0,91,30
b88791f0-6c92-4626-af36-531341509ae4,provider_6,10,38.0,91,30
b88791f0-6c92-4626-af36-531341509ae4,provider_7,1,81.0,81,35
b88791f0-6c92-4626-af36-531341509ae4,provider_7,2,56.0,81,35
b88791f0-6c92-4626-af36-531341509ae4,provider_7,3,47.0,81,35
b88791f0-6c92-4626-af36-531341509ae4,provider_7,4,42.0,81,35
b88791f0-6c92-4626-af36-531341509ae4,provider_7,5,44.0,81,35
b88791f0-6c92-4626-af36-531341509ae4,provider_7,6,55.0,81,35
b88791f0-6c92-4626-af36-531341509ae4,provider_7,7,63.0,81,35
b88791f0-6c92-4626-af36-531341509ae4,provider_7,8,59.0,81,35
b88791f0-6c92-4626-af36-531341509ae4,provider_7,9,54.0,81,35
b88791f0-6c92-4626-af36-531341509ae4,provider_7,10,64.0,81,35
b88791f0-6c92-4626-af36-531341509ae4,provider_8,1,95.0,95,23
b88791f0-6c92-4626-af36-531341509ae4,provider_8,2,57.0,95,23
b88791f0-6c92-4626-af36-531341509ae4,provider_8,3,47.0,95,23
b88791f0-6c92-4626-af36-531341509ae4,provider_8,4,33.0,95,23
b88791f0-6c92-4626-af36-531341509ae4,provider_8,5,32.0,95,23
b88791f0-6c92-4626-af36-531341509ae4,provider_8,6,31.0,95,23
b88791f0-6c92-4626-af36-531341509ae4,provider_8,7,48.0,95,23
b88791f0-6c92-4626-af36-531341509ae4,provider_8,8,39.0,95,23
b88791f0-6c92-4626-af36-531341509ae4,provider_8,9,35.0,95,23
b88791f0-6c92-4626-af36-531341509ae4,provider_8,10,35.0,95,23
